,Type of property,Location,Postcode,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2,Province,Region
6259,house,houdeng-goegnies,7110,10564773,109500,Rue de la station 27,1,E,420.0,0,1,40,128,21,3,0,0,0,1,0,0,1,Installed,Gas,109500,€109500,1,Hainaut,Wallonia
6266,house,gembloux,5030,10649973,199000,"Chaussée Nationale 4, b 21",1,C,235.0,0,1,2,0,20,0,0,Just renovated,0,0,1,0,1,Installed,Gas,199000,€199000,1,Namur,Wallonia
6267,villa,vedrin,5020,10649970,360000,Avenue du Gouverneur Bovesse 1,4,E,357.0,0,1,40,518,20,4,1999,Good,0,1,0,0,2,Installed,0,360000,€360000,1,Namur,Wallonia
6268,house,forest,2430,10262817,215000,Veerledorp 28/4,3,E,420.0,0,0,0,0,0,3,1938,To be done up,0,0,1,0,1,Semi equipped,Gas,215000,€215000,0,Antwerpen,Flanders
6269,villa,gent%20zwijnaarde,9052,10649968,799000,Sint-Denijslaan 1,5,E,481.0,0,1,0,1249,0,4,1972,To be done up,0,2,0,0,3,Installed,Gas,799000,€799000,1,Oost-Vlaanderen,Flanders
6270,ground-floor,antwerp,2060,10649965,219000,"Bredabaan, 896",2,C,286.0,0,0,0,0,25,2,0,Good,0,1,0,0,1,Semi equipped,Gas,219000,€219000,0,Antwerpen,Flanders
6271,apartment,antwerp,2060,10649961,219000,"Bredabaan, 896",2,C,286.0,0,0,0,0,25,2,0,Good,0,1,0,0,1,Semi equipped,Gas,219000,€219000,0,Antwerpen,Flanders
6272,apartment,antwerp,2018,10649958,339000,"Bredabaan, 896",2,A,92.0,0,1,6,0,25,2,2009,Good,0,1,1,0,1,Semi equipped,Gas,339000,€339000,1,Antwerpen,Flanders
6273,apartment,antwerp,2000,10649957,520000,"Bredabaan, 896",1,A,79.0,0,1,15,0,0,4,0,0,0,1,1,0,1,Hyper equipped,0,520000,€520000,1,Antwerpen,Flanders
6274,house,ternat,1741,10649955,424000,"Ninoofsesteenweg, 255",3,C,212.0,0,0,0,357,35,3,1990,Good,0,1,0,0,0,0,Gas,424000,€424000,0,Vlaams-Brabant,Flanders
6275,apartment-block,eynatten,4731,10649939,330000,Poteauerstrasse 90,3,D,327.0,0,0,0,245,0,4,0,0,0,0,0,0,0,0,Gas,330000,€330000,0,Liï¿½ge,Wallonia
6276,ground-floor,st-gilles,1060,10649936,495000,"Chée de Vleurgat, 177",2,F,277.0,0,1,10,0,0,2,1910,Just renovated,0,0,2,1,2,Not installed,0,495000,€495000,1,Brussels Hoofdstedelijk Gewest,Brussels
6277,house,braine-l%27alleud,1420,10649934,355000,"Avenue Napoléon, 1",4,G,572.0,0,1,20,168,38,2,1930,0,0,1,0,0,2,Installed,Fuel oil,355000,€355000,1,Brabant wallon,Wallonia
6278,house,braine-l%27alleud,1420,10649933,325000,"Avenue Napoléon, 1",3,F,486.0,0,1,32,150,32,2,1934,0,0,1,1,0,2,Installed,Gas,325000,€325000,1,Brabant wallon,Wallonia
6279,apartment,mechelen,2800,10649928,340000,Raghenoplein 15 B4,2,B,145.0,0,1,0,0,0,2,2006,Good,0,1,0,0,0,0,Gas,340000,€340000,1,Antwerpen,Flanders
6280,house,braine-l%27alleud,1420,10649922,237500,"Avenue Napoléon, 1",3,G,601.0,0,1,16,324,22,2,1957,0,0,1,0,0,1,0,Gas,237500,€237500,1,Brabant wallon,Wallonia
6281,house,zwevezele,8750,10649911,347000,Bruggestraat 13,3,D,307.0,0,1,0,433,0,4,1973,Good,0,1,0,0,0,0,Fuel oil,347000,€347000,1,West-Vlaanderen,Flanders
6282,house,st-eloois-vijve,8793,10649897,375000,Tategemstraat 30,3,A,15.0,0,1,253,256,32,3,2018,As new,0,1,0,0,2,Hyper equipped,Gas,375000,€375000,1,West-Vlaanderen,Flanders
6284,apartment,molenbeek-saint-jean,1080,10649893,250000,Rue Archimède 17,3,F,332.0,0,1,5,0,26,3,1964,Good,0,1,0,0,0,0,Fuel oil,250000,€250000,1,Brussels Hoofdstedelijk Gewest,Brussels
6286,villa,vlezenbeek,1602,10649881,769000,Postweg 119,4,C,233.0,0,1,0,836,38,4,2005,Good,0,2,0,1,0,USA hyper equipped,Gas,769000,€769000,1,Vlaams-Brabant,Flanders
6287,house,bastogne,6600,10649879,275000,"17, Route de Bastogne",4,F,470.0,1,0,0,89,26,3,1976,As new,0,2,2,1,2,Installed,Gas,275000,€275000,0,Luxembourg,Wallonia
6288,house,bekegem,8480,10649874,339000,Vissersstraat 39b,0,B,120.0,0,0,0,111,0,4,2004,Good,0,0,0,0,0,0,Gas,339000,€339000,0,West-Vlaanderen,Flanders
