,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Price_orig,Terrace2,Province,Region
3993,395000,Alsembergsesteenweg 660,2,D,347,0,1,0,240,0,3,1965,To be done up,0,2,0,0,2,Semi equipped,Gas,10655069,1650,395000,€395000,1,Vlaams-Brabant,Flanders
3994,725000,Hazeschransstraat 41,4,C,245,0,1,30,339,0,2,1930,0,0,1,0,0,0,Installed,0,10655068,2600,725000,€725000,1,Antwerpen,Flanders
3995,725000,Hazeschransstraat 41,4,C,245,0,1,30,339,0,2,1930,0,0,1,0,0,0,Installed,0,10655067,2600,725000,€725000,1,Antwerpen,Flanders
3996,925000,Hazeschransstraat 41,4,C,210,0,1,0,1808,0,4,1950,0,0,1,0,0,2,0,Gas,10655066,2650,925000,€925000,1,Antwerpen,Flanders
3997,540000,Sint-Gisleinsstraat 53,2,G,434,0,1,0,0,0,0,0,To renovate,0,1,0,0,1,0,0,10655062,1190,540000,€540000,1,Brussels Hoofdstedelijk Gewest,Brussels
3998,540000,Avenue Clémentine 31/4,4,D,193,0,1,12,0,40,2,1926,Good,0,1,1,0,2,Hyper equipped,0,10655058,1060,540000,€540000,1,Brussels Hoofdstedelijk Gewest,Brussels
3999,389000,Les Grands Champs 36,3,E,368,0,1,2,921,37,4,1996,Good,0,1,1,0,2,Installed,Fuel oil,10655057,4780,389000,€389000,1,Liï¿½ge,Wallonia
4000,179000,Stationstraat 16,1,D,304,0,0,0,0,0,0,0,Good,0,0,0,0,1,Installed,Gas,10655056,8420,179000,€179000,0,West-Vlaanderen,Flanders
4001,295000,Route d'Arlon 188a,2,B,87,1,1,5,0,0,2,2013,As new,0,1,0,0,1,USA hyper equipped,Gas,10655050,6791,295000,€295000,1,Luxembourg,Wallonia
4002,549000,Route d'Arlon 188a,4,D,261,0,1,50,924,17,4,1990,As new,0,1,0,1,2,0,Fuel oil,10655049,6780,549000,€549000,1,Luxembourg,Wallonia
4003,175000,Langestraat 71,2,E,428,0,1,8,0,24,3,0,To be done up,0,1,0,0,1,Semi equipped,0,10366762,2845,175000,€175000,1,Antwerpen,Flanders
4004,279000,Mechelbaan 509,3,C,296,0,0,0,95,0,2,0,Just renovated,0,1,0,0,1,Installed,Gas,10655048,2800,279000,€279000,0,Antwerpen,Flanders
4005,845000,Grand' Route 3,4,D,338,0,1,60,2179,0,4,1968,Good,0,1,1,1,2,Installed,Gas,10655046,1330,845000,€845000,1,Brabant wallon,Wallonia
4006,450000,Route de Landen 82,2,D,271,0,0,0,0,50,0,0,As new,0,0,1,0,2,0,Gas,10655045,1350,450000,€450000,0,Brabant wallon,Wallonia
4007,399000,Stationsstraat 97,3,B,141,0,1,25,0,0,2,0,0,0,1,0,0,1,Hyper equipped,Gas,10655044,9100,399000,€399000,1,Oost-Vlaanderen,Flanders
4008,280000,Dr. Persoonslaan 15 b,3,B,116,0,1,0,255,0,2,0,0,0,1,0,0,1,Installed,Gas,10655043,2830,280000,€280000,1,Antwerpen,Flanders
4009,320000,Impasse Saint-Paul 16,3,G,520,0,0,0,1450,45,4,1965,Good,0,1,0,0,0,Installed,Fuel oil,10655042,7623,320000,€320000,0,Hainaut,Wallonia
4010,435000,Sint-Lambertusstraat 32 bus 0001,2,B,137,0,1,10,0,0,2,2004,Good,0,1,0,0,2,Installed,Gas,10655035,3010,435000,€435000,1,Vlaams-Brabant,Flanders
4011,189000,Boulevard Saincetelette 39,3,F,447,0,1,24,662,40,2,0,Good,0,1,0,0,0,Installed,Fuel oil,10655034,7340,189000,€189000,1,Hainaut,Wallonia
4012,530000,Bredabaan 167A,2,D,368,0,0,0,1230,0,0,2005,0,0,0,0,0,0,0,Gas,10655031,2950,530000,€530000,0,Antwerpen,Flanders
4013,624000,Brusselsesteenweg 65,3,D,325,0,0,0,1330,48,3,1934,Good,0,1,0,0,2,Installed,Gas,10655030,1850,624000,€624000,0,Vlaams-Brabant,Flanders
