,property_type,property_subtype,immo_code,location,postcode,province,region,price,address,energy_class,primary_energy_consumption,furnished,terrace,terrace_surface,plot_surface,living_room_surface,frontages,construction_year,building_condition,bedrooms,bathrooms,shower_rooms,office,toilets,kitchen_type,heating_type,price_orig
1884,house,house,10662527,anzegem,8570,West-Vlaanderen,Flanders,430000,Vichteplaats 13,F,691,0,1,0,3927,0,4,1966,Good,4,1,0,0,1,Installed,Fuel oil,€430000
1885,house,house,10662525,edegem,2650,Antwerpen,Flanders,625000,Sint Goriksplein 8/11,A,78,0,1,0,364,0,2,0,As new,3,0,0,0,2,Installed,0,€625000
1886,apartment,apartment,10662524,jette,1090,Brussels Hoofdstedelijk Gewest,Brussels,220000,av. de la Floride 77,G,694,0,1,5,0,25,2,1970,Good,2,1,1,0,1,USA installed,Gas,€220000
1887,apartment,apartment,10662522,etterbeek,1040,Brussels Hoofdstedelijk Gewest,Brussels,297000,Avenue Louise 523,E,266,0,1,0,0,0,3,1928,Good,2,1,0,0,1,0,Gas,€297000
1888,house,villa,10662520,torhout,8820,West-Vlaanderen,Flanders,445000,Smedenstraat 21,D,345,1,1,0,2482,30,0,0,Good,3,1,1,0,2,0,Electric,€445000
1889,apartment,service-flat,10662516,scherpenheuvel-zichem%20testelt,3272,Vlaams-Brabant,Flanders,335412,"Bleekstraat, 19",A,30,0,1,16,0,0,4,2023,As new,2,1,0,0,0,0,0,€335412
1891,house,house,10577624,torhout,8820,West-Vlaanderen,Flanders,235000,Izegemstraat 355,F,532,0,1,0,213,0,2,0,To renovate,4,0,0,0,0,0,Gas,€235000
1892,house,house,10478749,oudenaarde,9700,Oost-Vlaanderen,Flanders,299000,Izegemstraat 355,E,447,0,1,0,200,0,2,0,Good,4,0,0,0,0,0,0,€299000
1893,house,house,10662505,soignies,7060,Hainaut,Wallonia,219000,RUE ERNEST MARTEL 24,C,250,0,1,40,120,22,2,0,0,4,1,0,0,2,0,Gas,€219000
1894,house,house,10662482,braine-l%27alleud%20ophain-bois-seigneur-isaac,1421,Brabant wallon,Wallonia,595000,122 RUE DE MONT-ST-PONT,C,255,0,1,25,366,18,3,1930,Just renovated,5,2,1,0,3,Hyper equipped,Gas,€595000
1896,house,house,10662472,anthisnes,4160,Liï¿½ge,Wallonia,250000,Rue Pierre Henvard 2,G,582,0,0,0,582,25,3,0,Just renovated,2,1,0,0,0,Semi equipped,Fuel oil,€250000
1897,house,mixed-use-building,10662471,bruxelles,1020,Brussels Hoofdstedelijk Gewest,Brussels,495000,Rue Prince Baudouin 67/15,G,950,0,1,23,68,0,2,0,Good,0,3,7,0,7,Semi equipped,Gas,€495000
1898,house,castle,10662470,durbuy,6940,Luxembourg,Wallonia,2100000,Markt 37,G,552,0,1,0,4200,0,4,1875,To be done up,7,5,4,0,7,Installed,Fuel oil,€2100000
1899,apartment,loft,10662467,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,650000,"Oppemlaan, 32",E,225,0,1,0,0,62,4,1989,Good,2,1,0,0,1,0,Gas,€650000
1900,house,house,10662465,bellegem,8510,West-Vlaanderen,Flanders,215000,Dorpsplein 11/1,E,438,0,0,0,122,15,2,1918,Good,3,1,0,1,2,0,Gas,€215000
1901,house,town-house,10662464,li%C3%A8ge,4000,Liï¿½ge,Wallonia,300000,Rue des Ragayets 32,E,365,0,1,0,121,16,2,1936,Good,2,1,1,1,2,Not installed,Gas,€300000
1902,house,house,10662462,oostende,8400,West-Vlaanderen,Flanders,350000,Heusdendorp 7,C,270,0,1,0,273,34,2,1985,As new,4,1,1,0,2,Hyper equipped,Gas,€350000
1903,apartment,apartment,10662460,berchem-sainte-agathe,1082,Brussels Hoofdstedelijk Gewest,Brussels,259000,Avenue Van Overbeke 134,E,223,0,1,5,0,55,2,1930,As new,2,1,0,0,1,USA hyper equipped,Gas,€259000
1904,house,house,10662452,oudenaarde,9700,Oost-Vlaanderen,Flanders,300000,markt 9,B,123,0,1,8,131,0,2,1997,Good,4,1,0,0,1,Installed,Gas,€300000
1905,apartment,apartment,10662440,brugge,8000,West-Vlaanderen,Flanders,375000,Kouter 98,B,161,0,1,0,0,0,2,2005,Good,2,1,0,0,1,Installed,Gas,€375000
1906,house,house,10662436,poperinge,8970,West-Vlaanderen,Flanders,238000,Peperstraat 38,F,505,0,1,0,180,0,2,1937,Good,3,1,0,0,1,Installed,Gas,€238000
1907,apartment,penthouse,10662432,roeselare,8800,West-Vlaanderen,Flanders,650000,Grote Markt 13,B,131,0,1,108,0,0,4,2020,Good,2,2,0,0,2,Hyper equipped,Gas,€650000
1908,apartment,apartment,10662431,ressaix,7134,Hainaut,Wallonia,120000,Route de Mons 379A,B,118,0,1,3,0,17,2,0,0,1,1,0,0,1,Installed,0,€120000
1909,apartment,apartment,10662426,middelkerke,8430,West-Vlaanderen,Flanders,379000,Leopoldlaan 1,C,219,0,1,7,0,0,2,1957,As new,2,1,0,0,0,Installed,Gas,€379000
1910,house,house,10662423,sint-michiels,8200,West-Vlaanderen,Flanders,499000,Vlamingstraat 62,B,181,0,1,0,600,0,4,1984,Good,5,2,0,0,3,Installed,Gas,€499000
1911,house,house,10662421,berendrecht,2040,Antwerpen,Flanders,319900,Hoevensebaan 25,C,261,0,1,0,275,0,2,1970,Good,3,0,0,0,2,0,Gas,€319900
1912,apartment,apartment,10662419,oostende,8400,West-Vlaanderen,Flanders,349000,Groentemarkt 1,E,415,0,0,0,0,0,0,0,Good,1,1,0,0,1,0,Fuel oil,€349000
1913,apartment,apartment,10610694,strombeek-bever,1853,Vlaams-Brabant,Flanders,239000,Verbeytstraat 1/1,C,214,0,0,0,0,0,2,1969,To be done up,2,1,0,0,1,Installed,Gas,€239000
1914,apartment,apartment,10662418,strombeek-bever,1853,Vlaams-Brabant,Flanders,279000,Verbeytstraat 1/1,B,115,0,1,0,0,0,4,1973,Good,2,1,0,0,1,Installed,Gas,€279000
1915,apartment,apartment,10662417,de%20panne,8660,West-Vlaanderen,Flanders,215000,Kapellelaan 9 - Esplanade,C,270,0,1,19,0,0,0,1960,Good,1,1,0,0,1,0,Gas,€215000
1916,apartment,duplex,10662412,gooik,1755,Vlaams-Brabant,Flanders,295000,Minderbroedersstraat 8,B,165,0,1,0,0,0,0,2010,Good,3,1,0,0,1,0,Gas,€295000
1917,apartment,flat-studio,10662407,li%C3%A8ge,4020,Liï¿½ge,Wallonia,114000,Rue Simon 46/2,D,319,0,0,0,0,0,2,0,Good,0,1,0,0,1,0,Gas,€114000
1918,house,villa,10662404,jabbeke,8490,West-Vlaanderen,Flanders,849000,Smedenstraat 21,E,411,0,1,0,2064,38,0,0,Good,4,2,0,0,2,0,0,€849000
1919,house,house,10662400,forest,1190,Brussels Hoofdstedelijk Gewest,Brussels,1100000,Place Brugmann 10B,E,231,0,1,14,340,29,2,1931,Good,5,3,7,1,3,Installed,Gas,€1100000
1920,house,villa,10662398,morlanwelz%20carni%C3%A8res,7141,Hainaut,Wallonia,349900,rue de Pont-à-Celles 10,E,401,0,1,120,872,40,4,1991,Good,3,1,1,1,2,Installed,Gas,€349900
1921,apartment,apartment,10662395,vilvoorde,1800,Vlaams-Brabant,Flanders,299000,"Prinsenstraat, 24",B,101,0,0,0,0,32,2,2013,Good,2,1,0,0,0,Hyper equipped,Gas,€299000
1922,house,house,10662393,thiaumont,6717,Luxembourg,Wallonia,899000,Rue Reine Astrid 26,B,98,0,1,30,660,46,3,1900,As new,7,3,0,0,0,Hyper equipped,Fuel oil,€899000
1923,house,house,9940689,borgerhout,2140,Antwerpen,Flanders,190000,"Bredabaan, 896",D,354,0,0,0,44,0,2,0,To renovate,3,1,0,0,2,Semi equipped,0,€190000
1924,house,villa,10662361,villersla-ville%20sart-dames-avelines,1495,Brabant wallon,Wallonia,310000,Rue Nestor Vandercamme 58,B,158,0,1,20,385,0,4,0,As new,2,1,0,0,0,0,0,€310000
1926,house,house,10631501,vise,4600,Liï¿½ge,Wallonia,239000,Avenue Franklin Roosevelt 22A,D,298,0,1,13,78,0,2,0,0,3,0,0,0,0,Installed,Gas,€239000
1927,house,mixed-use-building,10662355,qu%C3%A9vy%20qu%C3%A9vyle-grand,7040,Hainaut,Wallonia,395000,"Boulevard Kennedy, 69",F,447,0,1,0,21500,0,4,0,To renovate,15,4,0,0,0,0,0,€395000
1928,house,house,10662354,baelen%20%28lg.%29,4837,Liï¿½ge,Wallonia,240000,"Avenue du Chêne, 101",G,519,0,1,0,0,0,4,0,0,4,0,1,0,2,Installed,Electric,€240000
