,property_type,property_subtype,immo_code,location,postcode,province,region,price,address,energy_class,primary_energy_consumption,furnished,terrace,terrace_surface,plot_surface,living_room_surface,frontages,construction_year,building_condition,bedrooms,bathrooms,shower_rooms,office,toilets,kitchen_type,heating_type,price_orig
0,house,house,10666428,essen,2910,Antwerpen,Flanders,469000,Heidestatiestraat 26,D,390,0,1,0,760,34,4,0,0,3,1,0,0,2,Installed,0,€469000
1,house,house,10666426,bierges,1301,Brabant wallon,Wallonia,1395000,"Rue de Wavre, 27",C,178,0,1,60,6468,50,4,1988,Good,5,2,3,1,4,Hyper equipped,Fuel oil,€1395000
2,apartment,apartment,10666424,arlon,6700,Luxembourg,Wallonia,285000,Avenue de Longwy 340,D,299,0,0,0,0,0,2,0,Good,2,2,0,0,2,Installed,Electric,€285000
3,house,house,10666423,arlon,6700,Luxembourg,Wallonia,285000,Avenue de Longwy 340,D,299,0,0,0,0,0,2,0,Good,2,2,0,0,2,Installed,Electric,€285000
4,apartment,apartment,10666422,antwerp,2000,Antwerpen,Flanders,425000,"Grote steenweg, 511",C,254,0,1,4,0,40,0,0,As new,2,1,0,0,0,Installed,0,€425000
6,house,house,10666419,grace-hollogne,4460,Liï¿½ge,Wallonia,189000,Avenue Louis Libert 1,E,346,0,1,0,360,32,2,1934,Good,2,1,0,0,0,Semi equipped,Fuel oil,€189000
7,house,villa,10666418,aywaille,4920,Liï¿½ge,Wallonia,399999,Avenue Louis Libert 1,C,228,0,1,0,1059,44,4,2004,To be done up,4,1,0,1,0,Semi equipped,Fuel oil,€399999
8,house,house,10666417,boom,2850,Antwerpen,Flanders,324000,Goedehoopstraat 21,C,219,0,1,0,65,0,2,0,Good,3,1,0,1,3,0,0,€324000
9,house,mixed-use-building,10666416,boom,2850,Antwerpen,Flanders,324000,Goedehoopstraat 21,C,219,0,1,0,65,0,2,0,Good,3,1,0,1,3,0,0,€324000
10,house,house,10666410,liedekerke,1770,Vlaams-Brabant,Flanders,269000,Affligemsestraat 443,D,396,0,0,0,115,24,3,0,Good,3,1,0,0,2,0,Gas,€269000
11,house,house,10666409,li%C3%A8ge,4030,Liï¿½ge,Wallonia,480000,Route du Condroz 72,D,274,0,1,120,2183,16,4,1987,Good,4,2,1,1,2,Installed,Electric,€480000
12,house,house,10666405,aalst,9300,Oost-Vlaanderen,Flanders,239000,Grote Baan 170,F,684,0,1,0,132,33,2,1952,Good,3,1,0,0,0,Hyper equipped,Electric,€239000
14,house,house,10666402,antwerp,2170,Antwerpen,Flanders,215000,Dorpsstraat 84,E,487,0,0,0,305,28,2,1946,To renovate,3,1,0,1,0,0,0,€215000
15,apartment,service-flat,10666397,les%20bons%20villers%20villers-perwin,6210,Hainaut,Wallonia,170000,Place Emile Delalieux 1,B,106,0,1,8,0,26,0,2018,As new,1,1,1,0,1,Installed,Gas,€170000
16,house,house,10666396,aalst,9300,Oost-Vlaanderen,Flanders,310000,Brusselbaan 110,B,155,0,1,8,60,33,2,1930,Good,3,1,0,0,0,Installed,Gas,€310000
17,house,villa,10666393,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,2950000,"Avenue de la Forêt de Soignes, 327",D,180,0,1,100,1800,80,4,0,As new,6,4,0,1,5,Hyper equipped,0,€2950000
18,house,house,10666390,leopoldsburg,3970,Limburg,Flanders,297000,Rondplein 14/2,B,199,0,1,0,562,28,4,1973,0,3,1,0,1,0,Hyper equipped,0,€297000
19,house,house,10666385,deurne,2100,Antwerpen,Flanders,395000,Gitschotellei 153-157,B,162,0,0,0,161,42,2,0,Just renovated,3,1,0,0,1,0,0,€395000
20,apartment,apartment,10506515,aalst,9300,Oost-Vlaanderen,Flanders,125000,Brusselbaan 90,F,688,0,1,5,0,25,2,0,Good,1,1,0,0,1,Semi equipped,Gas,€125000
21,apartment,apartment,10506513,aalst,9300,Oost-Vlaanderen,Flanders,125000,Brusselbaan 90,C,256,0,1,5,0,25,2,0,To be done up,1,1,0,0,0,Semi equipped,Gas,€125000
22,apartment,apartment,10506511,aalst,9300,Oost-Vlaanderen,Flanders,125000,Brusselbaan 90,F,686,0,1,5,0,25,2,0,Good,1,1,0,0,1,Installed,Gas,€125000
23,apartment,apartment,10506510,aalst,9300,Oost-Vlaanderen,Flanders,155000,Brusselbaan 90,E,467,0,0,0,0,40,2,0,Good,2,1,0,0,1,Semi equipped,Gas,€155000
24,house,house,10666384,aalst,9300,Oost-Vlaanderen,Flanders,259000,"Capucienenlaan, 1",C,238,0,1,0,150,32,2,0,0,4,1,0,0,1,USA installed,Gas,€259000
25,apartment,duplex,10666383,la%20louvi%C3%A8re,7100,Hainaut,Wallonia,195000,Rue du Moulin 2,B,106,0,0,0,0,35,2,0,As new,3,1,0,0,0,Installed,0,€195000
26,house,house,10526137,tournai%20kain,7540,Hainaut,Wallonia,395000,"Bld des Déportés, 56 A",E,383,0,1,0,1330,0,3,0,To be done up,1,1,1,1,2,Installed,Pellet,€395000
27,house,exceptional-property,10666382,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,1990000,Chaussée de Waterloo 1382,A,31,0,1,40,1184,65,4,2018,As new,5,3,1,1,5,USA hyper equipped,0,€1990000
28,apartment,apartment,10666381,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,595000,Chaussée de Waterloo 1382,D,190,0,1,7,0,54,2,1937,Good,3,2,1,1,2,Hyper equipped,Fuel oil,€595000
29,house,villa,10666371,olne,4877,Liï¿½ge,Wallonia,700000,Voie de L'air Pur 211,C,218,0,1,0,3190,50,4,1993,As new,3,1,0,1,2,Installed,Fuel oil,€700000
30,house,house,10666368,brasschaat,2930,Antwerpen,Flanders,875000,Kempischveldweg 34,B,187,0,1,0,2146,46,4,1972,Good,5,2,0,1,0,USA hyper equipped,Gas,€875000
31,house,exceptional-property,10666367,ekeren,2180,Antwerpen,Flanders,1295000,Kempischveldweg 34,C,206,0,1,0,2710,0,4,1895,As new,5,2,0,1,0,Hyper equipped,0,€1295000
36,house,house,10666355,hoboken,2660,Antwerpen,Flanders,595000,Koninlijkelaan 42,C,230,0,1,0,333,0,3,0,As new,4,2,0,0,0,0,Gas,€595000
37,house,house,10666354,aalst,9300,Oost-Vlaanderen,Flanders,325000,Steenweg 299,C,211,0,1,0,222,28,3,0,Good,4,1,0,0,0,Installed,Gas,€325000
38,house,house,10666352,laeken,1020,Brussels Hoofdstedelijk Gewest,Brussels,469000,"Avenue des Cerisiers, 212",F,283,0,1,40,343,40,3,1963,As new,4,1,1,1,2,Hyper equipped,0,€469000
39,house,house,10666349,vilvoorde%20koningslo,1800,Vlaams-Brabant,Flanders,469000,"Avenue des Cerisiers, 212",C,283,0,1,40,343,40,3,1963,As new,4,1,1,1,2,Hyper equipped,0,€469000
40,apartment,apartment,10666348,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,240000,"Avenue des Cerisiers, 212",E,221,0,1,17,0,28,0,1964,To renovate,2,1,1,0,1,Semi equipped,Gas,€240000
41,apartment,apartment,10666347,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,299000,"Avenue des Cerisiers, 212",D,178,0,1,9,0,30,2,1964,To renovate,3,1,0,0,1,0,Fuel oil,€299000
43,apartment,apartment,10560725,lichtervelde,8810,West-Vlaanderen,Flanders,215000,Den Triangel 2,B,109,0,1,0,0,0,3,2012,As new,2,1,0,0,1,USA hyper equipped,0,€215000
47,apartment,apartment,10666334,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,200000,Avenue Baron Albert d'Huart 130,E,274,0,1,5,0,30,0,1970,To renovate,2,1,1,0,0,Installed,Gas,€200000
48,house,house,10666333,lokeren,9160,Oost-Vlaanderen,Flanders,175000,Kerkstraat 64,E,411,0,0,0,260,0,2,0,To be done up,2,1,0,0,1,Installed,Gas,€175000
49,house,exceptional-property,10666313,floreffe,5150,Namur,Wallonia,950000,Chaussée de Marche 474,C,234,0,1,120,24347,40,4,1989,As new,5,2,2,0,2,Installed,Fuel oil,€950000
50,house,house,10666312,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,840000,Rue Belliard 200,F,325,0,1,5,0,36,3,1931,As new,5,3,3,1,4,Hyper equipped,Gas,€840000
51,house,house,10666309,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,1400000,Rue Belliard 200,E,253,0,1,0,305,389,2,1912,Good,8,4,116,1,2,Installed,Gas,€1400000
52,apartment,apartment,10666308,etterbeek,1040,Brussels Hoofdstedelijk Gewest,Brussels,570000,Rue Belliard 200,G,733,0,1,8,0,55,2,1960,Just renovated,2,1,0,0,2,USA hyper equipped,Fuel oil,€570000
53,apartment,triplex,10666307,auderghem,1160,Brussels Hoofdstedelijk Gewest,Brussels,840000,Rue Belliard 200,F,325,0,1,5,0,36,3,1931,As new,5,3,0,1,4,Hyper equipped,Gas,€840000
54,apartment,apartment-block,10666301,namur,5100,Namur,Wallonia,525000,Joseph Durieux 151,C,173,0,1,50,0,20,3,0,0,3,0,2,1,4,Hyper equipped,0,€525000
55,house,mixed-use-building,10666300,fosses-la-ville,5070,Namur,Wallonia,189000,Joseph Durieux 151,G,557,0,1,27,0,0,3,0,Good,3,1,0,0,1,Semi equipped,Fuel oil,€189000
56,house,villa,10666299,malonne,5020,Namur,Wallonia,700000,Joseph Durieux 151,C,223,0,1,80,12748,70,4,0,0,3,1,1,1,2,USA hyper equipped,Gas,€700000
57,house,exceptional-property,10666298,malonne,5020,Namur,Wallonia,700000,Joseph Durieux 151,C,223,0,1,80,12748,70,4,0,0,3,1,1,1,2,USA hyper equipped,Gas,€700000
58,house,house,10666296,mettet,5640,Namur,Wallonia,250000,Joseph Durieux 151,G,590,0,1,30,1651,50,4,1980,To be done up,4,1,0,1,2,Semi equipped,Fuel oil,€250000
59,house,house,10666292,fraire,5650,Namur,Wallonia,250000,Joseph Durieux 151,G,590,0,1,30,1651,50,4,1980,To be done up,4,1,0,1,2,Semi equipped,Fuel oil,€250000
61,house,house,10666290,loyers,5101,Namur,Wallonia,425000,Joseph Durieux 151,E,400,0,1,40,5135,50,4,0,0,3,2,0,1,3,USA installed,Fuel oil,€425000
62,house,house,10666289,jemeppe-sur-sambre,5190,Namur,Wallonia,399000,Joseph Durieux 151,D,302,0,1,60,5000,56,4,0,To be done up,4,2,0,1,2,0,0,€399000
63,house,house,10666284,fosses-la-ville,5070,Namur,Wallonia,189000,Joseph Durieux 151,G,557,0,1,27,0,0,3,0,Good,3,1,0,0,1,Semi equipped,Fuel oil,€189000
64,house,house,10666283,malonne,5020,Namur,Wallonia,700000,Joseph Durieux 151,C,223,0,1,80,12748,70,4,0,0,3,1,1,1,2,USA hyper equipped,Gas,€700000
66,apartment,duplex,10666278,watermael-boitsfort,1170,Brussels Hoofdstedelijk Gewest,Brussels,620000,Avenue Louise 589,B,82,0,1,40,0,50,2,2005,As new,2,1,0,1,2,USA hyper equipped,Gas,€620000
67,apartment,apartment,10666277,jette,1090,Brussels Hoofdstedelijk Gewest,Brussels,245000,Avenue François Sebrechts 26,E,250,0,1,8,0,30,0,1969,As new,2,1,0,0,1,Hyper equipped,0,€245000
68,house,other-property,10666272,flobecq,7880,Hainaut,Wallonia,585000,Porte d'Ogy 78,G,848,0,1,0,3500,0,4,0,0,5,1,0,0,2,Installed,Fuel oil,€585.000.
69,house,country-cottage,10666271,flobecq,7880,Hainaut,Wallonia,585000,Porte d'Ogy 78,G,848,0,1,0,3500,0,4,0,0,5,1,0,0,2,Installed,Fuel oil,€585.000.
70,house,house,10666265,ledeberg,9050,Oost-Vlaanderen,Flanders,339000,Alphonse Claeys-Bouüaertlaan 57/001,C,295,0,0,0,70,0,0,1899,To be done up,5,1,0,0,0,Semi equipped,Gas,€339000
71,house,house,10666264,ledeberg,9050,Oost-Vlaanderen,Flanders,339000,Alphonse Claeys-Bouüaertlaan 57/001,C,295,0,0,0,70,0,0,1899,To be done up,5,1,0,0,0,Semi equipped,Gas,€339000
72,house,house,10666262,aarschot,3200,Vlaams-Brabant,Flanders,235000,Betekomsesteenweg 69F,D,398,0,0,0,174,0,0,1951,To renovate,2,1,0,1,1,0,Gas,€235000
73,house,house,10666261,beringen,3580,Limburg,Flanders,269950,Koeltorenlaan 11/3,E,496,0,1,21,0,28,0,1963,0,3,1,0,0,0,Installed,Gas,€269950
74,house,villa,10666257,rumbeke,8800,West-Vlaanderen,Flanders,845000,Jan Palfijnstraat 1A,D,396,0,0,0,6720,56,0,1966,0,4,1,0,1,0,Hyper equipped,Electric,€845000
75,house,villa,10666255,zele,9240,Oost-Vlaanderen,Flanders,419000,Vrijheidsplein 19,F,872,0,1,0,1425,0,0,1965,To renovate,3,1,0,1,1,Installed,Electric,€419000
76,house,house,10666254,merksem,2170,Antwerpen,Flanders,397000,"Uitbreidingstraat 84,",D,318,0,0,0,273,36,0,1938,0,5,1,0,1,0,Installed,Gas,€397000
77,apartment,apartment,10666253,hoboken,2660,Antwerpen,Flanders,155000,"Uitbreidingstraat 84,",B,192,0,0,0,0,25,0,0,0,2,0,0,0,0,Installed,Gas,€155000
82,apartment,apartment,10666243,assebroek,8310,West-Vlaanderen,Flanders,180000,Katelijnestraat 137,B,155,0,1,0,0,0,0,1974,As new,3,1,0,0,1,0,0,€180000
83,apartment,loft,10545687,veltem-beisem,3020,Vlaams-Brabant,Flanders,750000,Jan Stasstraat 3,C,213,0,1,96,0,0,0,0,As new,3,3,0,1,0,Hyper equipped,Gas,€750000
84,apartment,apartment,10666242,leuven,3000,Vlaams-Brabant,Flanders,298000,Jan Stasstraat 3,B,166,0,1,5,0,0,0,2012,0,1,1,0,0,0,0,Gas,€298000
85,apartment,apartment,10666241,heverlee,3001,Vlaams-Brabant,Flanders,280000,Jan Stasstraat 3,C,228,0,0,0,0,0,0,1967,Good,2,1,0,0,1,0,Gas,€280000
86,apartment,apartment,10666239,lier,2500,Antwerpen,Flanders,265000,Pastoor Mellaertstraat 60,B,125,0,1,0,0,0,0,2003,As new,2,1,0,0,2,0,Gas,€265000
87,apartment,apartment,10563903,oostende,8400,West-Vlaanderen,Flanders,349000,Artanlaan 2,A,100,0,1,0,0,0,0,2003,As new,2,1,0,0,2,0,0,€349000
89,house,villa,10666231,sint-idesbald,8670,West-Vlaanderen,Flanders,615000,Artanlaan 2,C,218,0,1,0,727,0,0,1968,To renovate,6,1,0,0,0,0,0,€615000
90,apartment,apartment,10666229,oostduinkerke,8670,West-Vlaanderen,Flanders,825000,Artanlaan 2,B,108,0,1,0,0,0,0,2003,0,2,2,0,0,1,0,Gas,€825000
91,house,mansion,10666228,oostende,8400,West-Vlaanderen,Flanders,439000,Artanlaan 2,B,175,0,1,0,237,0,0,0,0,5,4,0,0,4,0,0,€439000
92,house,house,10666227,nieuwpoort,8620,West-Vlaanderen,Flanders,225000,Artanlaan 2,F,631,0,0,0,0,0,0,1953,To be done up,3,1,0,0,1,0,0,€225000
93,apartment,apartment,10666226,oostduinkerke,8670,West-Vlaanderen,Flanders,3095000,Artanlaan 2,C,220,0,1,0,0,0,0,1994,As new,3,2,0,0,3,Hyper equipped,Electric,€3095000
120,house,house,10666198,aalst,9300,Oost-Vlaanderen,Flanders,435000,Vrijheidstraat 41,D,354,0,1,0,314,48,0,1960,0,4,1,0,1,2,0,0,€435000
121,house,house,10608330,borsbeek,2150,Antwerpen,Flanders,399000,Blancefloerlaan 50,C,236,0,1,0,195,0,0,0,As new,2,1,0,0,1,0,0,€399000
122,house,house,10666195,lummen,3560,Limburg,Flanders,239000,Dorpsstraat 9,E,497,0,0,0,913,38,0,1959,To renovate,3,1,0,0,1,0,0,€239000
123,house,house,10666194,kuurne,8520,West-Vlaanderen,Flanders,249000,Marktplein 14,D,360,0,1,0,285,0,0,0,To be done up,3,2,0,0,2,0,0,€249000
124,house,house,10666193,gits,8830,West-Vlaanderen,Flanders,470000,Marktplein 14,F,550,0,0,0,4044,0,0,1973,0,2,1,0,0,1,0,0,€470000
125,apartment,apartment,10666192,lichtervelde,8810,West-Vlaanderen,Flanders,235000,Marktplein 14,A,79,1,1,0,0,0,0,2016,0,2,1,0,0,1,0,0,€235000
126,house,house,10666191,appels,9200,Oost-Vlaanderen,Flanders,249000,Oude Vest 90/1,F,667,0,0,0,148,28,0,0,As new,3,1,0,0,1,Installed,Gas,€249000
128,house,house,10666187,scherpenheuvel-zichem,3270,Vlaams-Brabant,Flanders,149000,"Het Dorlik, 16",F,604,0,0,0,450,0,0,0,To renovate,3,1,0,0,0,0,0,€149000
129,house,town-house,10666186,sint-truiden,3800,Limburg,Flanders,239000,"Het Dorlik, 16",D,333,0,1,0,85,0,0,0,To renovate,2,1,0,0,1,Not installed,Gas,€239000
130,house,exceptional-property,10666184,hasselt,3500,Limburg,Flanders,524900,"Het Dorlik, 16",C,240,0,1,0,220,0,0,0,0,3,1,0,0,0,Installed,Gas,€524900
131,house,exceptional-property,10666183,hasselt,3500,Limburg,Flanders,699000,"Het Dorlik, 16",B,121,0,1,0,215,0,0,1920,0,2,1,0,1,2,Installed,Gas,€699000
132,house,house,10666182,genk,3600,Limburg,Flanders,285000,"Het Dorlik, 16",B,154,0,1,0,20060,0,0,2016,0,3,1,0,0,0,Installed,Gas,€285000
133,house,house,10666180,putte,2580,Antwerpen,Flanders,365000,Mechelbaan 445,F,533,0,1,0,935,0,0,1962,To renovate,3,1,0,0,1,Installed,Gas,€365000
134,house,house,10666179,putte,2580,Antwerpen,Flanders,625000,Mechelbaan 445,A,100,0,0,0,496,0,0,2018,0,3,1,0,0,2,Hyper equipped,Gas,€625000
135,apartment,apartment,10666178,heist-op-den-berg,2220,Antwerpen,Flanders,348000,Mechelbaan 445,B,145,0,1,0,0,0,0,2008,0,3,1,0,0,2,Installed,Gas,€348000
136,house,house,10666177,vurste,9890,Oost-Vlaanderen,Flanders,445000,Dorp 32 A,A,40,0,0,0,235,0,0,0,0,5,2,0,1,2,0,0,€445000
137,house,house,10666176,vurste,9890,Oost-Vlaanderen,Flanders,375000,Dorp 32 A,A,40,0,1,0,235,0,0,0,0,5,2,0,0,0,0,0,€375000
139,apartment,ground-floor,10667177,molenbeek-saint-jean,1080,Brussels Hoofdstedelijk Gewest,Brussels,199000,Avenue Louise 120 (4e étage),E,216,0,1,0,0,32,2,1975,Good,2,1,1,0,1,Not installed,Fuel oil,€199000
140,house,town-house,10631705,bois-d%27haine,7170,Hainaut,Wallonia,186500,Rue Sylvain Guyaux 85,D,289,0,0,0,0,0,0,0,Good,2,0,1,0,1,Semi equipped,Gas,€186500
143,house,house,10667169,etterbeek,1040,Brussels Hoofdstedelijk Gewest,Brussels,780000,Place Communale 8,F,339,0,1,3,100,15,2,1930,To be done up,5,1,2,0,3,Hyper equipped,Gas,€780000
144,house,house,10667167,olloy-sur-viroin,5670,Namur,Wallonia,88000,Avenue Paul pastur 380,F,486,0,0,0,139,23,2,0,0,3,1,1,0,2,Installed,Fuel oil,€88000
145,house,house,10667166,frasnes-lez-gosselies,6210,Hainaut,Wallonia,238000,Avenue Paul pastur 380,C,184,0,1,40,200,38,2,0,0,3,1,0,0,1,Installed,Gas,€238000
146,house,villa,10667165,gozee,6534,Hainaut,Wallonia,395000,Avenue Paul pastur 380,C,228,0,1,20,1085,48,4,0,0,2,1,0,0,1,Installed,Fuel oil,€395000
147,house,house,10667164,deerlijk,8540,West-Vlaanderen,Flanders,229000,Hulstedorp 18,E,460,0,0,0,313,0,3,0,To be done up,3,0,0,0,1,Semi equipped,Fuel oil,€229000
148,apartment,apartment,10667161,molenbeek-st-jean,1080,Brussels Hoofdstedelijk Gewest,Brussels,295000,Rue Haute 2,E,252,0,1,9,0,13,2,2007,Good,2,1,1,0,1,Installed,Electric,€295000
149,house,house,10667156,keerbergen,3140,Vlaams-Brabant,Flanders,850000,Korenmarkt 55,B,194,0,1,0,1366,20,4,1994,0,3,1,2,1,2,0,0,€850000
151,house,house,10667154,laeken,1020,Brussels Hoofdstedelijk Gewest,Brussels,539000,Rue de Wand 25,F,301,0,1,11,0,32,2,1956,0,4,2,0,0,3,Installed,Fuel oil,€539000
154,apartment,apartment,10667148,beveren,9120,Oost-Vlaanderen,Flanders,349000,Kasteeldreef 15,D,385,0,1,12,0,43,2,1979,To renovate,2,1,0,0,0,0,Gas,€349000
157,house,house,10667127,berlare,9290,Oost-Vlaanderen,Flanders,575000,Dorp 41,E,438,0,0,0,808,36,4,1989,Good,2,1,0,0,0,0,Electric,€575000
159,apartment,apartment,10667113,li%C3%A8ge,4000,Liï¿½ge,Wallonia,145000,Rue de Plainevaux 102,D,300,0,0,0,0,28,3,0,To be done up,2,1,0,0,0,0,Gas,€145000
162,apartment,new-real-estate-project-apartments,10667068,liege,4031,Liï¿½ge,Wallonia,335000,Boulevard d'Avroy 19,A,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€335000
164,apartment,new-real-estate-project-apartments,10667039,liege,4000,Liï¿½ge,Wallonia,620000,Boulevard d'Avroy 19,A,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€620000
166,apartment,apartment,10667024,li%C3%A8ge,4020,Liï¿½ge,Wallonia,169000,Rue Simon 46/2,C,202,0,0,0,0,20,2,0,Good,1,1,0,0,1,0,Gas,€169000
167,house,house,10667023,mol,2400,Antwerpen,Flanders,325000,Statiestraat 47,D,376,0,1,0,572,0,0,0,Good,4,0,0,0,2,Installed,Fuel oil,€325000
170,house,house,10667019,aalst,9300,Oost-Vlaanderen,Flanders,149000,Graanmarkt 10,D,322,0,0,0,48,27,2,1935,To be done up,2,1,0,0,1,0,Gas,€149000
171,apartment,apartment,10667013,eeklo,9900,Oost-Vlaanderen,Flanders,185000,Boelare 67,C,282,0,1,0,0,0,2,1983,Good,3,1,0,0,0,0,Gas,€185000
172,apartment,apartment,10667011,theux,4910,Liï¿½ge,Wallonia,185000,"Avenue du Chêne, 101",B,140,0,0,0,0,0,3,0,0,2,1,1,0,2,Installed,Gas,€185000
173,house,house,10667005,mouscron,7700,Hainaut,Wallonia,165000,Boulevard des Déportés 32,C,234,0,1,0,190,0,2,0,Good,3,1,0,0,1,Installed,Gas,€165000
174,house,house,10643228,herseaux,7712,Hainaut,Wallonia,329000,"Avenue du Château, 200",B,137,0,1,0,308,0,3,2008,Good,3,1,0,0,2,Installed,Gas,€329000
175,apartment,apartment,10666999,sint-eloois-vijve%20%28waregem%29,8793,West-Vlaanderen,Flanders,300000,Holstraat 86,B,150,0,1,0,0,0,4,0,Good,2,1,0,0,0,0,Gas,€300000
176,apartment,apartment,10666998,noorderwijk,2200,Antwerpen,Flanders,249000,Fraikinstraat 7,B,165,0,1,14,0,24,3,2004,Good,2,1,0,0,0,0,Gas,€249000
177,house,house,10478162,bouffioulx,6200,Hainaut,Wallonia,79000,Rue du Parc 5 bt3,D,283,0,0,0,43,20,2,0,0,2,1,0,0,1,0,0,€79000
178,apartment,apartment-block,10666992,monceau-sur-sambre,6031,Hainaut,Wallonia,220000,Rue du Parc 5 bt3,G,748,0,0,0,340,40,2,0,0,4,2,0,0,2,0,Gas,€220000
179,house,house,10666990,blaasveld,2830,Antwerpen,Flanders,409000,Dorpshart 10,B,190,0,1,15,310,0,3,1986,Good,3,1,0,0,2,Installed,Gas,€409000
180,house,villa,10666986,gistel,8470,West-Vlaanderen,Flanders,1245000,Vlamingstraat 26,F,818,0,1,0,5924,139,0,0,Good,3,0,0,0,1,Installed,Fuel oil,€1245000
181,house,villa,10666985,kapellen,2950,Antwerpen,Flanders,649000,Kapelsesteenweg 348,C,211,0,1,20,2505,52,0,0,As new,4,0,0,0,2,Hyper equipped,Gas,€649000
182,house,house,10666984,ciney,5590,Namur,Wallonia,599000,Chaussée de Louvain 258,D,280,0,0,0,3300,62,4,0,As new,6,2,0,1,3,Installed,Fuel oil,€599000
183,apartment,apartment,10666982,eupen,4700,Liï¿½ge,Wallonia,135000,Poteauerstrasse 90,A,56,0,0,0,0,21,0,0,0,1,1,0,0,0,Installed,0,€135000
184,house,house,10666978,izegem,8870,West-Vlaanderen,Flanders,349000,Posterijstraat 61,C,285,0,0,0,374,0,3,1965,To be done up,3,0,0,0,2,0,Gas,€349000
185,apartment,apartment,10666977,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,299000,Rue Archimède 17,E,268,0,1,0,0,20,2,1934,Good,2,1,0,0,0,0,Gas,€299000
187,house,house,10666972,olen,2250,Antwerpen,Flanders,415000,Graaf De Broquevillestraat 35,B,172,0,0,0,1233,0,3,1994,Good,3,1,0,0,4,0,Gas,€415000
188,house,house,10666970,bornem,2880,Antwerpen,Flanders,419000,Mercatorstraat 64,E,409,0,0,0,170,0,3,1900,Good,3,1,0,0,0,0,Gas,€419000
189,house,house,10666970,bornem,2880,Antwerpen,Flanders,419000,Mercatorstraat 64,E,409,0,0,0,170,0,3,1900,Good,3,1,0,0,0,0,Gas,€419000
190,house,house,10666969,bornem,2880,Antwerpen,Flanders,298000,Mercatorstraat 64,F,513,0,0,0,370,30,3,1938,Good,3,1,0,0,0,0,0,€298000
191,house,villa,10666967,ninove,9400,Oost-Vlaanderen,Flanders,680000,Edingsesteenweg 296,B,177,0,1,0,1182,0,4,1993,Good,6,1,0,1,3,0,Electric,€680000
192,house,house,10666960,tienen,3300,Vlaams-Brabant,Flanders,315000,Hoogstraat 2 bus 1,B,116,0,0,0,127,0,0,0,As new,3,0,0,0,2,Hyper equipped,Gas,€315000
194,house,house,10666957,philippeville,5600,Namur,Wallonia,99000,Faubourg Saint Germain   28,B,126,0,0,0,0,42,4,0,Good,1,0,1,0,1,USA semi equipped,Gas,€99000
195,house,bungalow,10666954,jalhay,4845,Liï¿½ge,Wallonia,255000,Avenue Elisabeth 144,G,679,0,1,50,810,29,4,0,0,2,1,0,0,1,Installed,Electric,€255000
197,house,house,10666949,moorslede,8890,West-Vlaanderen,Flanders,370000,Gentsestraat 10/5,E,466,0,1,0,470,15,0,0,Good,7,0,0,0,2,Installed,Gas,€370000
198,house,villa,10666945,arlon,6700,Luxembourg,Wallonia,578000,Rue Reine Astrid 26,C,187,0,1,25,886,40,4,2003,As new,4,1,0,1,2,Hyper equipped,Fuel oil,€578000
199,house,house,10666944,bonnert,6700,Luxembourg,Wallonia,599000,Rue Reine Astrid 26,B,100,0,1,30,309,52,2,2015,As new,3,2,0,0,3,USA hyper equipped,0,€599000
200,house,house,10666943,arlon,6700,Luxembourg,Wallonia,950000,Rue Reine Astrid 26,C,189,0,1,0,1467,42,3,0,Good,7,2,0,1,0,Installed,Fuel oil,€950000
201,house,house,10666938,scherpenheuvel-zichem,3270,Vlaams-Brabant,Flanders,275000,"Diestsesteenweg, 3",F,782,0,0,0,1000,23,4,1973,0,3,1,0,0,0,Installed,Fuel oil,€275000
202,apartment,apartment-block,10643432,montignies-sur-sambre,6061,Hainaut,Wallonia,239000,Rue des Combattants 37,G,1025,0,0,0,0,0,2,0,Just renovated,3,2,0,0,2,Installed,Gas,€239000
203,house,house,10591958,ch%C3%A2telet,6200,Hainaut,Wallonia,79000,Rue des Combattants 37,F,427,0,0,0,0,0,2,0,Good,2,1,0,0,1,Semi equipped,Gas,€79000
207,house,house,10666917,kortrijk,8500,West-Vlaanderen,Flanders,275000,Overleiestraat 79,F,585,0,0,0,312,0,3,0,To renovate,3,1,0,1,0,0,Gas,€275000
210,apartment,apartment,10666907,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,295000,Molenstraat 93,D,167,0,1,5,0,0,3,2011,As new,2,1,0,0,1,USA installed,Gas,€295000
211,house,villa,10623098,mouscron,7700,Hainaut,Wallonia,610000,Rue de Menin 400,C,185,0,1,55,954,56,4,2001,As new,3,1,2,1,0,Installed,Gas,€610000
