,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
1088,house,house,10664669,velaines,7760,Hainaut,Wallonia,330000,Chaussée de Renaix 55,E,387.0,0,1,36,900,0,4,0,Just renovated,3,1,1,0,2,0,0,€330000
1090,apartment,ground-floor,10664662,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,319000,"Avenue des Cerisiers, 95",D,179.0,0,0,0,0,25,2,1879,Just renovated,1,1,1,0,2,Semi equipped,0,€319000
1091,apartment,apartment,10664661,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,231000,"Avenue des Cerisiers, 95",F,296.0,0,0,0,0,25,2,1879,To be done up,1,1,1,0,1,Semi equipped,0,€231000
1092,apartment,ground-floor,10664660,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,319000,"Avenue des Cerisiers, 95",D,179.0,0,0,0,0,25,2,1879,Just renovated,1,1,1,0,2,Semi equipped,0,€319000
1094,apartment,apartment,10664656,athus,6791,Luxembourg,Wallonia,189000,Rue des Etangs 28,F,468.0,0,0,0,0,19,2,0,Good,1,1,0,0,1,Installed,0,€189000
1095,house,manor-house,10664655,habay,6720,Luxembourg,Wallonia,539000,Rue des Etangs 28,C,195.0,0,0,0,6200,0,0,2012,Good,4,2,0,0,1,0,Gas,€539000
1096,house,manor-house,10664653,nothomb,6717,Luxembourg,Wallonia,349000,Rue des Etangs 28,G,651.0,0,0,0,793,23,0,0,To renovate,2,1,0,0,1,0,Wood,€349000
1097,apartment,apartment-block,10664651,halanzy,6792,Luxembourg,Wallonia,725000,Rue des Etangs 28,C,231.0,0,0,0,0,0,3,1978,To renovate,0,0,0,0,0,0,Fuel oil,€725000
1098,house,house,10664650,athus,6791,Luxembourg,Wallonia,339000,Rue des Etangs 28,E,345.0,0,0,0,338,0,3,1950,Good,4,1,0,1,2,0,Fuel oil,€339000
1099,house,house,10664648,aubange,6790,Luxembourg,Wallonia,449000,Rue des Etangs 28,G,553.0,0,0,0,2100,0,0,0,To be done up,3,0,0,0,0,Installed,Fuel oil,€449000
1100,apartment,flat-studio,10664647,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,106000,Chemin des Sages 7,E,228.0,0,0,0,0,0,0,1990,0,1,0,1,0,0,0,0,€106000
1101,house,house,10664636,putte,2580,Antwerpen,Flanders,1250000,Mechelbaan 509,A+,-3.0,0,1,0,2276,0,4,0,0,5,3,0,0,0,Installed,0,€1250000
1102,apartment,apartment,10664635,lanaken,3620,Limburg,Flanders,209000,Lapzeisstraat 38,C,281.0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,€209000
1103,apartment,apartment,10664633,tournai,7500,Hainaut,Wallonia,239000,Boulevard Delwart 11,A,64.0,0,1,12,0,55,0,0,0,2,0,0,0,0,0,0,€239000
1105,house,house,10664631,wierde,5100,Namur,Wallonia,309000,Chaussee de Marche 488,F,459.0,0,1,24,846,24,4,1988,0,3,1,0,0,1,Installed,Fuel oil,€309000
