,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
4710,apartment,apartment,10654339,brasschaat,2930,Antwerpen,Flanders,335000,Kunstlei 14,B,132.0,0,1,0,0,32,2,0,As new,2,1,0,0,2,Installed,Gas,€335000
4711,apartment,apartment,10654338,brasschaat,2930,Antwerpen,Flanders,299000,Kunstlei 14,B,186.0,0,1,4,0,38,2,0,As new,2,1,0,0,2,Installed,Gas,€299000
4712,house,house,10654336,andrimont,4821,Liï¿½ge,Wallonia,185000,Borchamps 24,E,353.0,0,1,22,507,0,3,0,Good,2,1,1,0,2,0,Fuel oil,€185000
4713,house,house,10654335,hannut,4280,Liï¿½ge,Wallonia,385000,Borchamps 24,E,410.0,0,1,30,4244,50,4,0,To be done up,3,2,1,1,3,0,Fuel oil,€385000
4714,apartment,apartment,10654334,puurs-sint-amands,2870,Antwerpen,Flanders,265000,Jan Hammeneikerstraat 125,A,56.0,0,1,24,0,37,2,2021,As new,1,1,0,0,1,Hyper equipped,0,€265000
4715,house,house,10654333,spa,4900,Liï¿½ge,Wallonia,310000,Rue du Parc 10,C,250.0,0,1,11,222,16,2,1910,Good,4,1,13,1,2,Installed,Gas,€310000
4716,apartment,apartment,10654330,malle%20westmalle,2390,Antwerpen,Flanders,539000,Antwerpsesteenweg 209,A,82.0,0,1,0,0,35,3,2016,As new,2,1,0,0,2,Installed,Gas,€539000
4717,apartment,flat-studio,10612458,koksijde,8670,West-Vlaanderen,Flanders,145000,Rozenlaan 4,B,105.0,0,0,0,0,0,0,0,Good,1,1,0,0,0,0,0,€145000
4718,house,chalet,10654325,heist-op-den-berg%20schriek,2223,Antwerpen,Flanders,159000,Schrieksebaan 53B001,C,236.0,0,1,0,559,0,4,2018,As new,1,1,0,0,1,Installed,0,€159000
4719,house,house,10654324,hoeilaart,1560,Vlaams-Brabant,Flanders,1980000,Chaussée de Louvain 433,C,251.0,0,1,0,24356,0,4,1910,Good,6,2,2,0,4,Installed,0,€1980000
4720,house,house,10654323,braine-le-ch%C3%83teau%20wauthier-braine,1440,Brabant wallon,Wallonia,395000,Rue de Nivelles 1,G,586.0,0,1,0,2030,51,4,1959,To renovate,5,2,0,0,2,0,Fuel oil,€395000
4721,apartment,flat-studio,10654321,gent,9000,Oost-Vlaanderen,Flanders,169000,"Hundelgemsesteenweg, 306",D,382.0,0,0,0,0,0,2,0,Good,1,1,0,0,1,Installed,0,€169000
4722,house,house,10654320,liege,4000,Liï¿½ge,Wallonia,205000,Rue J. Wettinck 49,C,178.0,0,1,15,215,44,2,0,Good,3,2,2,1,3,Hyper equipped,Gas,€205000
4723,house,house,10654318,liege,4000,Liï¿½ge,Wallonia,145000,Rue J. Wettinck 49,E,367.0,0,1,12,110,16,3,1962,Good,3,1,1,0,1,Installed,Fuel oil,€145000
4724,house,house,10654317,seraing,4101,Liï¿½ge,Wallonia,149000,Rue J. Wettinck 49,D,338.0,0,1,30,115,18,3,0,Good,4,1,0,0,1,Installed,Gas,€149000
4725,apartment,apartment,10654316,bruxelles,1020,Brussels Hoofdstedelijk Gewest,Brussels,345000,Chaussée de Vleurgat 293,E,251.0,0,1,9,0,35,3,1992,To be done up,3,2,1,0,2,Hyper equipped,0,€345000
4726,house,house,10654313,honnelles%20angre,7387,Hainaut,Wallonia,250000,Rue Joseph Dufrane 12,G,609.0,0,1,45,1252,32,3,0,Good,5,3,3,0,3,Not installed,Fuel oil,€250000
4727,apartment,apartment,10654310,knokke-heist,8300,West-Vlaanderen,Flanders,1395000,"Koningslaan, 131",A,92.0,0,1,16,0,0,2,2010,As new,3,2,2,0,2,USA hyper equipped,Gas,€1395000
4728,house,house,10654305,herselt,2230,Antwerpen,Flanders,250000,Pas 96/A,F,708.0,0,1,0,1087,0,4,1960,Good,2,1,0,0,0,Hyper equipped,Fuel oil,€250000
4729,house,house,10395770,veerle,2431,Antwerpen,Flanders,285000,Pas 96/A,F,580.0,0,1,0,548,0,4,1968,To be done up,2,1,0,0,1,Installed,Fuel oil,€285000
4730,house,house,10651426,stavelot%20francorchamps,4970,Liï¿½ge,Wallonia,349000,"Avenue du chêne, 177",C,214.0,0,1,28,951,25,4,2000,Good,3,1,0,1,2,0,Fuel oil,€349000
4731,house,house,10654302,fayt-lez-manage,7170,Hainaut,Wallonia,104999,"4, Place Sabatier",E,411.0,0,1,0,320,23,2,1900,To renovate,2,1,1,0,1,Not installed,Gas,€104.999
4732,house,house,10654301,leernes,6142,Hainaut,Wallonia,69999,"4, Place Sabatier",G,715.0,0,0,0,140,17,2,1900,Good,2,1,1,0,1,Semi equipped,Pellet,€69999
4733,house,house,10654300,la%20hestre,7170,Hainaut,Wallonia,129999,"4, Place Sabatier",F,459.0,0,1,0,199,12,3,1900,To be done up,2,1,1,1,1,Semi equipped,Gas,€129999
4734,house,house,10654291,berlare,9290,Oost-Vlaanderen,Flanders,349000,Markt 37,D,399.0,0,1,0,0,0,4,0,Good,3,1,1,0,0,Installed,Gas,€349000
4735,house,mansion,10654280,antwerp,2600,Antwerpen,Flanders,1350000,"Jordaenskaai, 21",C,285.0,0,1,0,386,0,2,0,0,5,2,0,0,0,0,0,€1350000
4736,house,house,10654278,quievrain,7380,Hainaut,Wallonia,80000,rue de Valenciennes 42,G,945.0,0,0,0,155,13,3,1918,To renovate,3,1,1,0,1,USA installed,Gas,€80000
4737,house,house,10654275,thuin,6530,Hainaut,Wallonia,230000,"Avenue Marie José, 59",E,380.0,0,0,0,4100,25,3,0,To be done up,3,1,0,1,2,Installed,Fuel oil,€230000
4738,apartment,apartment,10654270,hoboken,2660,Antwerpen,Flanders,20000,Waalsekaai 32,B,135.0,0,1,8,0,34,3,2010,As new,2,1,0,0,1,Hyper equipped,Gas,€20.000
4739,apartment,apartment,10654269,deurne,2100,Antwerpen,Flanders,25000,Waalsekaai 32,E,463.0,0,1,3,0,35,3,1967,To be done up,2,1,0,0,1,USA hyper equipped,Gas,€25.000-)
4740,apartment,apartment,10654268,evere,1140,Brussels Hoofdstedelijk Gewest,Brussels,278000,Dorp 6,E,258.0,0,0,0,0,23,2,0,0,2,1,0,0,2,Installed,Fuel oil,€278000
4742,apartment,apartment,10654264,heverlee,3001,Vlaams-Brabant,Flanders,249000,Interleuvenlaan 66,C,217.0,0,1,10,0,0,2,1965,Just renovated,1,1,0,0,0,0,0,€249000
4743,house,house,10325768,deurne,2100,Antwerpen,Flanders,299000,Langestraat 71,E,410.0,0,1,20,200,0,2,1955,Good,2,1,1,0,2,Installed,Gas,€299000
4744,house,house,10654262,diest,3290,Vlaams-Brabant,Flanders,359000,Hasseltsestraat 17,D,364.0,0,1,30,216,0,3,1969,Good,3,1,0,0,1,Installed,Fuel oil,€359000
4745,apartment,ground-floor,10654261,sint-truiden,3800,Limburg,Flanders,269000,"Stationstraat 2/017 (Hoek Tiensetraat, Molenstraat)",E,429.0,0,1,20,0,37,0,2005,Good,2,1,0,0,1,Installed,0,€269000
4746,house,house,10654260,londerzeel,1840,Vlaams-Brabant,Flanders,339000,Valkebeekstraat 24,B,139.0,0,1,0,186,0,2,0,Good,3,1,0,0,2,Installed,Gas,€339000
4747,apartment,penthouse,10654258,knokke-heist,8300,West-Vlaanderen,Flanders,95000,Zoutelaan 53,B,121.0,0,1,39,0,72,2,2004,As new,4,3,3,1,3,USA hyper equipped,Gas,€95.000.
4748,apartment,apartment,10654256,bruxelles,1130,Brussels Hoofdstedelijk Gewest,Brussels,209000,Chaussée de Haecht 1697,B,87.0,1,0,0,0,30,2,2017,As new,1,1,0,0,0,Not installed,Gas,€209000
4749,house,house,10654255,mechelen,2800,Antwerpen,Flanders,428000,Korenmarkt 55,B,134.0,0,1,30,90,20,2,1930,0,3,1,0,1,2,Hyper equipped,Gas,€428000
4750,house,house,10654254,bonheiden,2820,Antwerpen,Flanders,382000,Korenmarkt 55,F,668.0,0,1,0,545,41,3,1960,Good,3,1,0,0,2,Installed,Fuel oil,€382000
4751,house,house,10654252,vilvoorde,1800,Vlaams-Brabant,Flanders,297000,Korenmarkt 55,F,690.0,0,1,0,113,24,2,1918,0,3,1,0,0,0,0,0,€297000
4752,house,house,10654249,brasschaat,2930,Antwerpen,Flanders,399000,Bredabaan 1026/6,B,138.0,0,0,0,252,12,2,1932,0,3,1,0,0,0,0,0,€399000
4753,apartment,apartment,10654248,antwerp,2100,Antwerpen,Flanders,229000,Bredabaan 1026/6,D,312.0,0,1,6,0,34,0,1994,0,2,1,0,0,1,0,0,€229000
4754,house,house,10654247,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,1960000,"Avenue Delleur, 8",C,128.0,0,1,0,300,0,2,1890,As new,6,4,2,1,0,Hyper equipped,Gas,€1960000
4758,house,villa,10654242,sint-pieters-leeuw,1600,Vlaams-Brabant,Flanders,850000,Galgstraat 83,B,175.0,0,1,0,2924,53,4,1988,Good,4,1,0,1,2,Installed,Fuel oil,€850000
4762,house,house,10654234,lubbeek,3210,Vlaams-Brabant,Flanders,499000,Leuvensesteenweg 264,C,271.0,0,0,0,1373,18,4,1986,Good,4,1,0,1,0,0,Fuel oil,€499000
4763,house,villa,10654233,ternat,1740,Vlaams-Brabant,Flanders,449000,Immo Van Middelem,F,516.0,0,1,0,705,38,4,1992,Good,3,1,0,1,2,Hyper equipped,Electric,€449000
4764,apartment,apartment,10654229,leuven,3001,Vlaams-Brabant,Flanders,448000,Kardinaal Mercierlaan 81,C,281.0,0,1,0,0,0,3,1976,To renovate,3,1,0,0,0,Installed,Fuel oil,€448000
4765,apartment,apartment,10654226,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,450000,Rue Du Postillon 3,F,279.0,0,1,1,0,48,2,0,As new,2,2,2,0,1,USA hyper equipped,0,€450000
4766,house,house,10564072,dentergem,8720,West-Vlaanderen,Flanders,469000,Plein 30 a,D,314.0,0,1,0,680,40,4,0,Just renovated,5,1,0,1,0,USA installed,Gas,€469000
4767,house,house,10654224,ittre,1460,Brabant wallon,Wallonia,460000,Avenue Reine Astrid 215,F,454.0,0,1,0,804,0,3,1890,Good,4,2,1,0,4,Installed,0,€460000
4768,apartment,apartment,10654222,wetteren,9230,Oost-Vlaanderen,Flanders,192000,Hekkerstraat 61,B,122.0,0,1,6,0,35,2,1974,Good,2,1,0,0,1,Hyper equipped,Gas,€192000
4769,apartment,apartment,10654221,jette,1090,Brussels Hoofdstedelijk Gewest,Brussels,240000,av. de la Floride 77,E,271.0,0,1,2,0,40,2,1935,To renovate,2,1,0,0,1,Installed,Gas,€240000
4770,house,villa,10654220,jumet,6040,Hainaut,Wallonia,249500,"Avenue Paul Pastur, 381 bte 1",E,410.0,0,1,0,0,0,4,0,Good,3,2,1,1,2,Installed,Fuel oil,€249500
4771,house,exceptional-property,10654218,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,2750000,Avenue Legrand 30,D,209.0,0,1,0,289,30,2,1910,As new,5,3,3,1,0,Hyper equipped,Gas,€2750000
4773,apartment,apartment,10654212,chiny,6810,Luxembourg,Wallonia,239900,Faubourg d'Arival 16,A,46.0,0,1,6,0,0,0,2024,0,2,1,0,0,1,0,Gas,€239900
4774,house,house,10654209,"rochefort,%20jemelle",5580,Namur,Wallonia,350000,Route de Marche 25,B,146.0,0,1,68,800,28,4,1973,Just renovated,3,1,1,1,1,Hyper equipped,Fuel oil,€350000
4775,apartment,apartment,10654207,antwerp,2020,Antwerpen,Flanders,239000,Kapellestraat 14A,B,161.0,0,1,10,0,32,2,1970,Good,2,1,0,0,1,Hyper equipped,0,€239000
4776,house,house,10640126,mechelen,2800,Antwerpen,Flanders,279000,Brusselsesteenweg 31,E,434.0,0,1,0,120,20,2,1931,To renovate,2,2,1,0,2,Semi equipped,Gas,€279000
4777,house,house,10654205,heist-op-den-berg,2220,Antwerpen,Flanders,475000,Achiel Cleynhenslaan 19,F,598.0,0,1,0,2282,42,4,1962,To renovate,4,1,0,0,2,Hyper equipped,Fuel oil,€475000
4778,house,house,10633712,heist-op-den-berg,2220,Antwerpen,Flanders,245000,Achiel Cleynhenslaan 19,E,492.0,0,1,24,175,31,3,1960,To renovate,3,1,0,0,1,0,Gas,€245000
4779,house,house,10611481,keerbergen,3140,Vlaams-Brabant,Flanders,925000,Achiel Cleynhenslaan 19,A,27.0,0,1,0,922,60,4,2014,As new,3,2,0,1,2,Hyper equipped,0,€925000
4780,apartment,penthouse,10654203,herentals,2200,Antwerpen,Flanders,348000,Oudstrijderslaan 38,B,134.0,0,1,0,0,44,2,2001,Good,4,1,0,0,2,Installed,Gas,€348000
4781,house,house,10654201,remicourt,4350,Liï¿½ge,Wallonia,220000,Chaussée de Tirlemont 15/1,G,584.0,0,1,40,300,28,3,1910,To be done up,3,1,1,0,2,Semi equipped,Fuel oil,€220000
4782,house,house,10563785,donceel,4357,Liï¿½ge,Wallonia,425000,Chaussée de Tirlemont 15/1,E,412.0,0,1,120,1570,40,4,1881,Good,4,1,0,1,2,Installed,Fuel oil,€425000
4783,apartment,ground-floor,10654200,zutendaal,3690,Limburg,Flanders,159000,Broedersstraat 8,B,198.0,0,0,0,0,0,2,1990,To be done up,1,1,0,0,0,0,Gas,€159000
4784,apartment,ground-floor,10654199,zutendaal,3690,Limburg,Flanders,189000,Broedersstraat 8,C,246.0,0,0,0,0,0,0,1990,To be done up,2,1,0,0,0,0,Gas,€189000
4785,apartment,apartment,10654198,zutendaal,3690,Limburg,Flanders,219000,Broedersstraat 8,C,237.0,0,1,0,0,0,0,1990,To be done up,3,1,0,0,0,0,Electric,€219000
4787,house,house,10654191,sprimont,4140,Liï¿½ge,Wallonia,359000,Rue de la Station 3,C,183.0,0,1,0,778,32,3,0,As new,5,1,1,0,2,Hyper equipped,0,€359000
4788,house,house,10654190,lebbeke,9280,Oost-Vlaanderen,Flanders,499000,Kerkstraat 84,A,72.0,0,1,0,850,0,3,1937,As new,4,1,0,0,2,USA hyper equipped,0,€499000
4789,apartment,duplex,10654187,dendermonde,9200,Oost-Vlaanderen,Flanders,347000,Kerkstraat 84,B,143.0,0,1,21,0,0,2,2011,As new,3,2,0,0,2,0,Gas,€347000
4790,house,house,10654186,dendermonde,9200,Oost-Vlaanderen,Flanders,209000,Mechelsesteenweg 123 bus 1,E,447.0,0,1,0,182,0,2,1938,To renovate,5,1,0,0,0,0,0,€209000
4791,house,house,10654185,lebbeke,9280,Oost-Vlaanderen,Flanders,750000,Mechelsesteenweg 123 bus 1,D,316.0,0,1,0,7885,0,4,0,Good,3,1,0,0,2,USA hyper equipped,Gas,€750000
4792,apartment,apartment,10654184,kapellen,2950,Antwerpen,Flanders,268000,Korte Nieuwstraat 16,D,377.0,0,1,15,0,20,2,1968,As new,2,1,1,0,1,USA hyper equipped,Fuel oil,€268000
4793,house,farmhouse,10654182,gedinne%20louette-saint-pierre,5575,Namur,Wallonia,200000,Rue de Charleville 19,G,700.0,0,1,10,775,17,3,1865,To be done up,2,1,0,1,1,USA installed,0,€200000
4794,apartment,apartment,10654181,anderlecht,1070,Brussels Hoofdstedelijk Gewest,Brussels,275000,Avenue Van Overbeke 134,A,37.0,0,1,6,0,29,2,2023,As new,2,1,0,0,1,Installed,Gas,€275000
4795,apartment,ground-floor,10654179,mouscron,7700,Hainaut,Wallonia,109000,"rue des Cheminots, 18",C,253.0,0,0,0,0,0,3,0,Just renovated,3,1,0,0,0,Semi equipped,Gas,€109000
4796,house,house,10654178,tournai,7500,Hainaut,Wallonia,259000,Boulevard du Roi Albert 42/44,G,637.0,0,1,63,300,19,3,0,Good,3,1,1,0,0,Installed,Gas,€259000
4797,house,villa,10629912,brunehaut,7620,Hainaut,Wallonia,280000,Boulevard du Roi Albert 42/44,D,337.0,0,1,85,1200,43,4,0,Good,3,1,0,0,0,Installed,Fuel oil,€280000
4798,apartment,apartment,10654176,knokke,8300,West-Vlaanderen,Flanders,635000,Lippenslaan 393,B,104.0,0,1,0,0,0,2,1980,As new,3,2,0,0,1,Hyper equipped,Gas,€635000
4799,house,country-cottage,10654166,linter,3350,Vlaams-Brabant,Flanders,380000,Dirk Boutslaan 4,D,341.0,0,1,30,1581,71,4,1875,As new,4,1,0,0,3,Hyper equipped,Fuel oil,€380000
4800,apartment,apartment,10654165,auderghem,1160,Brussels Hoofdstedelijk Gewest,Brussels,295000,Avenue de l'université 38/40,C,109.0,0,1,12,0,35,3,1959,To renovate,2,1,0,0,1,0,0,€295000
4801,house,house,10654164,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,575000,Avenue de l'université 38/40,F,308.0,0,0,0,0,20,2,1909,To renovate,6,2,1,0,2,Installed,Gas,€575000
4802,house,house,10654163,seraing,4102,Liï¿½ge,Wallonia,219500,Rue Chapuis 24,D,315.0,0,0,0,345,23,3,1939,Good,3,1,1,0,2,0,Fuel oil,€219500
4803,apartment,apartment,10654162,auderghem,1160,Brussels Hoofdstedelijk Gewest,Brussels,355000,Avenue de l'université 38/40,D,197.0,0,0,0,0,40,2,1960,Just renovated,2,1,1,0,1,Hyper equipped,Gas,€355000
4804,apartment,apartment,10493035,knokke-heist,8300,West-Vlaanderen,Flanders,820000,Albert plein 6,A,96.0,1,1,0,0,0,2,1990,As new,3,2,0,0,2,USA hyper equipped,Gas,€820000
4805,apartment,apartment-block,10499166,courcelles,6180,Hainaut,Wallonia,210000,Place Communale 18,D,320.0,0,1,25,200,0,2,1960,As new,3,3,3,0,3,USA semi equipped,Gas,€210000
4806,house,house,10654084,aiseau-presles,6250,Hainaut,Wallonia,169000,"rue Saint-Luc, 55",E,349.0,0,1,0,91,0,3,1850,To renovate,2,1,1,0,2,Semi equipped,Fuel oil,€169000
4807,apartment,apartment,10654081,rixensart,1330,Brabant wallon,Wallonia,280000,Avenue de Mérode 16B,D,329.0,0,1,0,0,26,0,2001,Good,1,1,1,1,1,Installed,Gas,€280000
4808,house,house,10654079,rixensart,1330,Brabant wallon,Wallonia,735000,Avenue de Mérode 16B,E,342.0,0,1,0,3700,55,4,1979,Good,4,2,2,1,3,Hyper equipped,Gas,€735000
4809,apartment,apartment,10654058,saint-nicolas%20montegn%C3%A9e,4420,Liï¿½ge,Wallonia,99500,Avenue Louise 367,G,582.0,0,0,0,0,36,2,0,To be done up,2,1,1,1,0,0,0,€99500
4810,apartment,apartment-block,10654056,saint-nicolas%20montegn%C3%A9e,4420,Liï¿½ge,Wallonia,65000,Avenue Louise 367,D,261.0,0,0,0,0,35,3,0,To renovate,2,1,1,0,1,0,0,€65000
4811,apartment,apartment-block,10654055,li%C3%A8ge,4000,Liï¿½ge,Wallonia,199999,Avenue Louise 367,B,165.0,0,0,0,0,28,2,0,As new,3,1,1,1,0,0,Gas,€199999
4812,apartment,apartment-block,10654053,li%C3%A8ge,4000,Liï¿½ge,Wallonia,285000,Avenue Louise 367,D,261.0,0,0,0,0,0,3,0,As new,3,2,2,1,0,0,Gas,€285000
4813,house,house,10654052,mons,7000,Hainaut,Wallonia,225000,Avenue Louise 367,B,158.0,0,1,0,0,0,2,0,To be done up,3,3,3,0,2,0,Gas,€225000
4814,house,house,10654050,mons,7000,Hainaut,Wallonia,225000,Avenue Louise 367,B,158.0,0,1,0,0,0,2,0,To be done up,3,3,3,1,2,0,Gas,€225000
4815,apartment,ground-floor,10654049,saint-nicolas%20montegn%C3%A9e,4420,Liï¿½ge,Wallonia,79500,Avenue Louise 367,G,582.0,0,1,0,0,36,2,0,To be done up,3,0,2,1,1,0,Fuel oil,€79500
4816,apartment,apartment-block,10654047,li%C3%A8ge,4000,Liï¿½ge,Wallonia,99500,Avenue Louise 367,G,582.0,0,1,0,0,0,2,0,To be done up,3,0,2,1,1,0,Fuel oil,€99500
4817,apartment,apartment,10654046,saint-nicolas,4420,Liï¿½ge,Wallonia,87500,Avenue Louise 367,G,582.0,0,0,0,0,50,2,0,To be done up,3,2,2,1,1,0,0,€87500
4818,house,house,10654044,mons,7000,Hainaut,Wallonia,199500,Avenue Louise 367,B,158.0,0,1,0,0,0,2,0,To be done up,4,4,2,0,0,0,Gas,€199500
4819,house,house,10654043,mons,7000,Hainaut,Wallonia,199500,Avenue Louise 367,B,158.0,0,1,0,0,0,2,0,To be done up,5,2,2,0,0,0,Gas,€199500
4821,house,house,10654037,vilvoorde,1800,Vlaams-Brabant,Flanders,249000,Stationstraat 79,D,302.0,0,0,0,115,27,2,1936,0,2,1,0,0,1,Hyper equipped,Gas,€249000
4822,house,house,10654035,meise,1860,Vlaams-Brabant,Flanders,395000,Stationstraat 79,E,492.0,0,1,0,728,30,4,1957,0,1,1,0,0,0,0,Fuel oil,€395000
4823,house,house,10654024,aalst,9300,Oost-Vlaanderen,Flanders,415000,Nieuwstraat 9,A,78.0,0,1,0,461,43,2,1963,Good,3,1,0,1,1,Hyper equipped,0,€415000
4824,apartment,triplex,10654021,tremelo,3120,Vlaams-Brabant,Flanders,300000,Aarschotsesteenweg 201A,B,196.0,0,0,0,0,40,3,1985,Just renovated,3,2,0,0,2,Installed,Gas,€300000
4825,house,house,10503567,zoersel,2980,Antwerpen,Flanders,1360000,Turnhoutsebaan 75,C,214.0,0,1,120,4120,75,4,1971,As new,5,4,0,1,5,Hyper equipped,Gas,€1360000
4826,house,house,10654019,gent,9000,Oost-Vlaanderen,Flanders,330000,Ottergemsesteenweg-Zuid 808,D,358.0,0,0,0,47,30,2,1900,Good,4,1,1,0,2,Hyper equipped,Gas,€330000
4827,house,house,10654016,mouscron,7700,Hainaut,Wallonia,95000,Rue Saint-Achaire 86,D,298.0,0,1,20,130,26,2,1930,To renovate,3,1,1,0,1,Not installed,Gas,€95000
4828,apartment,apartment,10654015,lommel,3920,Limburg,Flanders,365000,Binnensingel 70 / 2,A,38.0,0,1,0,0,0,3,2021,As new,2,1,0,0,1,Installed,0,€365000
4829,apartment,apartment,10654006,tongeren,3700,Limburg,Flanders,159000,Hondsstraat 21B1,E,459.0,0,1,5,0,20,2,0,Just renovated,2,1,0,0,1,Hyper equipped,Gas,€159000
4830,apartment,apartment,10654005,tongeren,3700,Limburg,Flanders,165000,Hondsstraat 21B1,D,338.0,0,1,2,0,28,4,1974,Good,3,1,0,0,1,Installed,Gas,€165000
4831,apartment,flat-studio,10654003,kessel-lo,3010,Vlaams-Brabant,Flanders,175000,"Vanderkelenstraat, 22",C,222.0,0,0,0,0,0,2,0,Good,1,1,0,0,1,0,0,€175000
4832,house,house,10653997,braine-l%27alleud%20lillois-witterz%C3%A9e,1428,Brabant wallon,Wallonia,425000,Rue François Libert 39,D,271.0,0,1,20,375,40,2,1994,Good,3,2,0,0,2,Installed,Gas,€425000
4833,house,house,10653996,hemiksem,2620,Antwerpen,Flanders,345000,Paalstraat 70,D,344.0,0,1,20,213,25,3,0,Good,3,1,0,0,1,Installed,Gas,€345000
4834,house,house,10653995,braine-l%27alleud,1420,Brabant wallon,Wallonia,425000,Rue François Libert 39,D,271.0,0,1,20,375,40,2,1994,Good,3,2,0,0,2,Installed,Gas,€425000
4835,house,house,10653994,aalst%20moorsel,9310,Oost-Vlaanderen,Flanders,115000,Grote Baan 170,F,815.0,0,0,0,201,16,2,0,To renovate,2,1,0,0,1,Not installed,0,€115000
4836,house,house,10588264,berendrecht,2040,Antwerpen,Flanders,289000,Dorpsstraat 84,F,715.0,0,1,0,280,18,3,1968,Good,3,1,0,0,0,0,Fuel oil,€289000
4837,house,villa,10653993,schoten,2900,Antwerpen,Flanders,735000,"Mechelsesteenweg,157",E,419.0,0,1,0,1492,60,4,1960,Good,3,1,1,1,2,Installed,Gas,€735000
4838,house,house,10653991,rumst,2840,Antwerpen,Flanders,469000,"Prins Boudewijnlaan, 112-114",F,654.0,0,1,31,460,45,3,0,To renovate,6,2,0,1,2,Installed,Gas,€469000
4839,house,bungalow,10653987,affligem,1790,Vlaams-Brabant,Flanders,370000,Brusselbaan 110,E,457.0,0,1,20,587,32,4,1976,Good,3,1,0,0,0,Hyper equipped,Gas,€370000
4840,house,exceptional-property,10653986,liedekerke,1770,Vlaams-Brabant,Flanders,298000,Brusselbaan 110,E,407.0,0,1,30,314,30,2,1948,To renovate,4,3,0,0,3,Installed,Gas,€298000
4841,house,house,10653985,affligem,1790,Vlaams-Brabant,Flanders,579000,Brusselbaan 110,C,241.0,0,1,0,849,30,4,1959,As new,5,2,0,0,4,Hyper equipped,Gas,€579000
4842,house,house,10653984,aalst%20meldert,9310,Oost-Vlaanderen,Flanders,579000,Brusselbaan 110,C,241.0,0,1,0,849,30,4,1959,As new,5,2,0,0,4,Hyper equipped,Gas,€579000
4845,house,town-house,10653979,anderlecht,1070,Brussels Hoofdstedelijk Gewest,Brussels,375000,"Avenue d'Itterbeek, 60",G,458.0,0,1,15,157,30,2,0,To be done up,3,1,1,0,1,Installed,Gas,€375000
4846,house,house,10653978,charleroi,6043,Hainaut,Wallonia,180000,Rue de la Croix 16,A+,1.0,0,1,0,0,41,2,2020,0,3,1,1,0,1,0,0,€180000
4847,house,house,10653976,courcelles,6180,Hainaut,Wallonia,170000,Rue de la Croix 16,C,252.0,0,1,40,356,12,3,1900,As new,4,2,2,0,3,Installed,Gas,€170000
4848,apartment,service-flat,10575964,wezembeek-oppem,1970,Vlaams-Brabant,Flanders,175000,"Av. du Prince de Ligne, 18",B,131.52,0,1,0,0,0,2,2016,As new,1,1,0,0,1,USA installed,Gas,€175000
4849,house,house,10653972,achouffe,6666,Luxembourg,Wallonia,302000,"RUE DU PURNALET, 8",A,67.0,0,1,0,366,0,3,2023,As new,4,2,0,0,0,Installed,Gas,€302000
4850,house,house,10653971,la%20roche-en-ardenne,6980,Luxembourg,Wallonia,139000,"RUE DU PURNALET, 8",E,405.0,0,1,0,160,0,2,0,To be done up,4,1,0,0,0,0,0,€139000
4851,house,house,10653970,compogne,6687,Luxembourg,Wallonia,239000,"RUE DU PURNALET, 8",D,325.0,0,0,0,7370,0,4,0,Good,4,1,0,0,0,0,0,€239000
4852,house,house,10520202,ortho,6983,Luxembourg,Wallonia,299000,"RUE DU PURNALET, 8",D,339.0,1,0,0,1443,0,4,0,Good,5,1,0,0,0,0,Fuel oil,€299000
4853,apartment,duplex,10653968,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,345000,Rue Archimède 93b,D,210.0,0,1,12,0,26,2,0,Good,1,2,0,1,2,Hyper equipped,Gas,€345000
4854,house,villa,10653965,beringen,3583,Limburg,Flanders,740000,Ryksweg 235,B,165.0,0,1,0,9097,0,4,1997,0,4,2,0,0,0,0,0,€740000
4856,house,exceptional-property,10653960,schilde,2970,Antwerpen,Flanders,1500000,Kempischveldweg 34,C,241.0,0,0,0,3992,0,4,0,As new,5,3,0,1,0,Hyper equipped,Gas,€1500000
4857,house,house,10653959,deurne,2100,Antwerpen,Flanders,475000,Kempischveldweg 34,E,493.0,0,1,0,234,0,2,0,To renovate,4,1,0,0,0,0,0,€475000
4858,apartment,loft,10653958,mechelen,2800,Antwerpen,Flanders,445000,Kempischveldweg 34,B,134.0,0,1,10,0,0,2,0,As new,2,1,0,0,1,Hyper equipped,0,€445000
4859,house,house,10653954,diepenbeek,3590,Limburg,Flanders,845000,Hoogstraat 20,E,448.0,0,1,0,9111,40,4,1937,Good,5,1,0,1,0,Semi equipped,Fuel oil,€845000
4860,house,house,10653953,denderleeuw,9470,Oost-Vlaanderen,Flanders,299000,Steenweg 299,D,310.0,0,1,0,232,24,2,0,Good,3,1,0,0,1,Installed,Gas,€299000
4861,house,house,10653952,menen%20rekkem,8930,West-Vlaanderen,Flanders,189000,Plein 30 A,B,149.0,0,1,20,176,14,2,1918,As new,2,1,1,1,0,USA installed,0,€189000
