,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2
668,apartment,apartment,10665967,de%20panne,8660,West-Vlaanderen,Flanders,470000,Nieuwpoortlaan 29,2,C,275.0,0,1,0,0,0,0,1989,As new,0,2,0,0,2,Installed,Electric,470000,€470000,1
669,apartment,apartment,10665966,de%20panne,8660,West-Vlaanderen,Flanders,649000,Nieuwpoortlaan 29,2,C,231.0,0,1,0,0,0,0,1980,Just renovated,0,1,0,0,1,Hyper equipped,Electric,649000,€649000,1
670,apartment,apartment,10665963,tisselt,2830,Antwerpen,Flanders,185000,Hallaarstraat 17/2,1,B,157.0,0,1,26,0,35,2,2011,Good,0,1,0,0,1,Installed,Gas,185000,€185000,1
680,apartment,apartment,10665949,sint-denijs-westrem,9051,Oost-Vlaanderen,Flanders,325000,Brusselsesteenweg 690,2,A,25.0,0,1,15,0,36,0,2025,0,0,1,0,0,1,Hyper equipped,0,325000,€325000,1
681,apartment,apartment,10665948,sint-denijs-westrem,9051,Oost-Vlaanderen,Flanders,280000,Brusselsesteenweg 690,2,A,25.0,0,1,14,0,24,0,2025,0,0,1,0,0,0,Hyper equipped,0,280000,€280000,1
682,apartment,apartment,10665947,sint-denijs-westrem,9051,Oost-Vlaanderen,Flanders,265000,Brusselsesteenweg 690,1,A,25.0,0,1,10,0,15,0,2025,0,0,1,0,0,0,Hyper equipped,0,265000,€265000,1
683,apartment,apartment,10665946,sint-denijs-westrem,9051,Oost-Vlaanderen,Flanders,400000,Brusselsesteenweg 690,3,A,18.0,0,1,27,0,38,0,2025,0,0,2,0,0,1,Hyper equipped,0,400000,€400000,1
684,apartment,apartment,10665945,sint-denijs-westrem,9051,Oost-Vlaanderen,Flanders,320000,Brusselsesteenweg 690,2,A,25.0,0,1,11,0,35,0,2025,0,0,1,0,0,1,Hyper equipped,0,320000,€320000,1
685,apartment,apartment,10665944,sint-denijs-westrem,9051,Oost-Vlaanderen,Flanders,330000,Brusselsesteenweg 690,2,A,25.0,0,1,13,0,32,0,2025,0,0,1,0,0,0,Hyper equipped,0,330000,€330000,1
686,apartment,apartment,10665943,gent,9000,Oost-Vlaanderen,Flanders,320000,Brusselsesteenweg 690,2,A,25.0,0,1,13,0,34,0,2025,0,0,1,0,0,1,Hyper equipped,0,320000,€320000,1
687,apartment,apartment,10665942,gent,9000,Oost-Vlaanderen,Flanders,325000,Brusselsesteenweg 690,2,A,25.0,0,1,15,0,36,0,2025,0,0,1,0,0,1,Hyper equipped,0,325000,€325000,1
688,apartment,apartment,10665941,gent,9000,Oost-Vlaanderen,Flanders,280000,Brusselsesteenweg 690,2,A,25.0,0,1,14,0,24,0,2025,0,0,1,0,0,0,Hyper equipped,0,280000,€280000,1
689,apartment,apartment,10665940,gent,9000,Oost-Vlaanderen,Flanders,265000,Brusselsesteenweg 690,1,A,25.0,0,1,10,0,15,0,2025,0,0,1,0,0,0,Hyper equipped,0,265000,€265000,1
690,apartment,apartment,10665939,gent,9000,Oost-Vlaanderen,Flanders,400000,Brusselsesteenweg 690,3,A,18.0,0,1,27,0,38,0,2025,0,0,2,0,0,1,Hyper equipped,0,400000,€400000,1
691,apartment,apartment,10665938,gent,9000,Oost-Vlaanderen,Flanders,320000,Brusselsesteenweg 690,2,A,25.0,0,1,11,0,35,0,2025,0,0,1,0,0,1,Hyper equipped,0,320000,€320000,1
692,apartment,apartment,10665937,gent,9000,Oost-Vlaanderen,Flanders,330000,Brusselsesteenweg 690,2,A,25.0,0,1,13,0,32,0,2025,0,0,1,0,0,0,Hyper equipped,0,330000,€330000,1
727,house,house,10665859,brugge,8000,West-Vlaanderen,Flanders,178000,St-Amandsstraat 23,2,F,533.0,0,1,0,99,0,0,1850,0,0,1,0,0,1,0,Gas,178000,€178000,1
729,apartment,apartment,10665845,deinze,9800,Oost-Vlaanderen,Flanders,395000,Brusselsesteenweg 690,2,A,1.0,0,1,12,0,22,4,2023,As new,0,1,0,0,1,Hyper equipped,Gas,395000,€395000,1
730,apartment,apartment,10665844,deinze,9800,Oost-Vlaanderen,Flanders,250000,Brusselsesteenweg 690,1,A,1.0,0,1,10,0,12,4,2023,As new,0,1,0,0,1,Hyper equipped,Gas,250000,€250000,1
731,apartment,apartment,10665843,deinze,9800,Oost-Vlaanderen,Flanders,375000,Brusselsesteenweg 690,2,A,1.0,0,1,28,0,15,4,2023,As new,0,1,0,0,1,Hyper equipped,Gas,375000,€375000,1
735,apartment,apartment,10665838,gent,9000,Oost-Vlaanderen,Flanders,365000,Brusselsesteenweg 690,3,A,25.0,0,1,13,0,31,0,2025,0,0,3,0,0,1,Hyper equipped,0,365000,€365000,1
736,apartment,apartment,10665829,gent,9000,Oost-Vlaanderen,Flanders,365000,Brusselsesteenweg 690,3,A,25.0,0,1,13,0,31,0,2025,0,0,3,0,0,1,Hyper equipped,0,365000,€365000,1
737,apartment,apartment,10665828,gent,9000,Oost-Vlaanderen,Flanders,320000,Brusselsesteenweg 690,2,A,25.0,0,1,13,0,34,0,2025,0,0,1,0,0,1,Hyper equipped,0,320000,€320000,1
738,apartment,apartment,10665827,gent,9000,Oost-Vlaanderen,Flanders,325000,Brusselsesteenweg 690,2,A,25.0,0,1,15,0,36,0,2025,0,0,1,0,0,1,Hyper equipped,0,325000,€325000,1
739,apartment,apartment,10665826,gent,9000,Oost-Vlaanderen,Flanders,280000,Brusselsesteenweg 690,2,A,25.0,0,1,14,0,24,0,2025,0,0,1,0,0,0,Hyper equipped,0,280000,€280000,1
740,apartment,apartment,10665825,gent,9000,Oost-Vlaanderen,Flanders,265000,Brusselsesteenweg 690,1,A,25.0,0,1,10,0,15,0,2025,0,0,1,0,0,0,Hyper equipped,0,265000,€265000,1
741,apartment,apartment,10665824,gent,9000,Oost-Vlaanderen,Flanders,400000,Brusselsesteenweg 690,3,A,18.0,0,1,27,0,38,0,2025,0,0,2,0,0,1,Hyper equipped,0,400000,€400000,1
