,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2
0,house,house,10666428,essen,2910,Antwerpen,Flanders,469000,Heidestatiestraat 26,3,D,390.0,0,1,0,760,34,4,0,0,0,1,0,0,2,Installed,0,469000,€469000,1
1,house,house,10666426,bierges,1301,Brabant wallon,Wallonia,1395000,"Rue de Wavre, 27",5,C,178.0,0,1,60,6468,50,4,1988,Good,0,2,3,1,4,Hyper equipped,Fuel oil,1395000,€1395000,1
2,apartment,apartment,10666424,arlon,6700,Luxembourg,Wallonia,285000,Avenue de Longwy 340,2,D,299.0,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,285000,€285000,0
3,house,house,10666423,arlon,6700,Luxembourg,Wallonia,285000,Avenue de Longwy 340,2,D,299.0,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,285000,€285000,0
4,apartment,apartment,10666422,antwerp,2000,Antwerpen,Flanders,425000,"Grote steenweg, 511",2,C,254.0,0,1,4,0,40,0,0,As new,0,1,0,0,0,Installed,0,425000,€425000,1
6,house,house,10666419,grace-hollogne,4460,Liï¿½ge,Wallonia,189000,Avenue Louis Libert 1,2,E,346.0,0,1,0,360,32,2,1934,Good,0,1,0,0,0,Semi equipped,Fuel oil,189000,€189000,1
7,house,villa,10666418,aywaille,4920,Liï¿½ge,Wallonia,399999,Avenue Louis Libert 1,4,C,228.0,0,1,0,1059,44,4,2004,To be done up,0,1,0,1,0,Semi equipped,Fuel oil,399999,€399999,1
8,house,house,10666417,boom,2850,Antwerpen,Flanders,324000,Goedehoopstraat 21,3,C,219.0,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,324000,€324000,1
9,house,mixed-use-building,10666416,boom,2850,Antwerpen,Flanders,324000,Goedehoopstraat 21,3,C,219.0,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,324000,€324000,1
10,house,house,10666410,liedekerke,1770,Vlaams-Brabant,Flanders,269000,Affligemsestraat 443,3,D,396.0,0,0,0,115,24,3,0,Good,0,1,0,0,2,0,Gas,269000,€269000,0
11,house,house,10666409,li%C3%A8ge,4030,Liï¿½ge,Wallonia,480000,Route du Condroz 72,4,D,274.0,0,1,120,2183,16,4,1987,Good,0,2,1,1,2,Installed,Electric,480000,€480000,1
12,house,house,10666405,aalst,9300,Oost-Vlaanderen,Flanders,239000,Grote Baan 170,3,F,684.0,0,1,0,132,33,2,1952,Good,0,1,0,0,0,Hyper equipped,Electric,239000,€239000,1
14,house,house,10666402,antwerp,2170,Antwerpen,Flanders,215000,Dorpsstraat 84,3,E,487.0,0,0,0,305,28,2,1946,To renovate,0,1,0,1,0,0,0,215000,€215000,0
15,apartment,service-flat,10666397,les%20bons%20villers%20villers-perwin,6210,Hainaut,Wallonia,170000,Place Emile Delalieux 1,1,B,106.0,0,1,8,0,26,0,2018,As new,0,1,1,0,1,Installed,Gas,170000,€170000,1
16,house,house,10666396,aalst,9300,Oost-Vlaanderen,Flanders,310000,Brusselbaan 110,3,B,155.0,0,1,8,60,33,2,1930,Good,0,1,0,0,0,Installed,Gas,310000,€310000,1
17,house,villa,10666393,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,2950000,"Avenue de la Forêt de Soignes, 327",6,D,180.0,0,1,100,1800,80,4,0,As new,0,4,0,1,5,Hyper equipped,0,2950000,€2950000,1
18,house,house,10666390,leopoldsburg,3970,Limburg,Flanders,297000,Rondplein 14/2,3,B,199.0,0,1,0,562,28,4,1973,0,0,1,0,1,0,Hyper equipped,0,297000,€297000,1
19,house,house,10666385,deurne,2100,Antwerpen,Flanders,395000,Gitschotellei 153-157,3,B,162.0,0,0,0,161,42,2,0,Just renovated,0,1,0,0,1,0,0,395000,€395000,0
20,apartment,apartment,10506515,aalst,9300,Oost-Vlaanderen,Flanders,125000,Brusselbaan 90,1,F,688.0,0,1,5,0,25,2,0,Good,0,1,0,0,1,Semi equipped,Gas,125000,€125000,1
21,apartment,apartment,10506513,aalst,9300,Oost-Vlaanderen,Flanders,125000,Brusselbaan 90,1,C,256.0,0,1,5,0,25,2,0,To be done up,0,1,0,0,0,Semi equipped,Gas,125000,€125000,1
22,apartment,apartment,10506511,aalst,9300,Oost-Vlaanderen,Flanders,125000,Brusselbaan 90,1,F,686.0,0,1,5,0,25,2,0,Good,0,1,0,0,1,Installed,Gas,125000,€125000,1
23,apartment,apartment,10506510,aalst,9300,Oost-Vlaanderen,Flanders,155000,Brusselbaan 90,2,E,467.0,0,0,0,0,40,2,0,Good,0,1,0,0,1,Semi equipped,Gas,155000,€155000,0
24,house,house,10666384,aalst,9300,Oost-Vlaanderen,Flanders,259000,"Capucienenlaan, 1",4,C,238.0,0,1,0,150,32,2,0,0,0,1,0,0,1,USA installed,Gas,259000,€259000,1
25,apartment,duplex,10666383,la%20louvi%C3%A8re,7100,Hainaut,Wallonia,195000,Rue du Moulin 2,3,B,106.0,0,0,0,0,35,2,0,As new,0,1,0,0,0,Installed,0,195000,€195000,0
26,house,house,10526137,tournai%20kain,7540,Hainaut,Wallonia,395000,"Bld des Déportés, 56 A",1,E,383.0,0,1,0,1330,0,3,0,To be done up,0,1,1,1,2,Installed,Pellet,395000,€395000,1
27,house,exceptional-property,10666382,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,1990000,Chaussée de Waterloo 1382,5,A,31.76,0,1,40,1184,65,4,2018,As new,0,3,1,1,5,USA hyper equipped,0,1990000,€1990000,1
28,apartment,apartment,10666381,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,595000,Chaussée de Waterloo 1382,3,D,190.0,0,1,7,0,54,2,1937,Good,0,2,1,1,2,Hyper equipped,Fuel oil,595000,€595000,1
29,house,villa,10666371,olne,4877,Liï¿½ge,Wallonia,700000,Voie de L'air Pur 211,3,C,218.0,0,1,0,3190,50,4,1993,As new,0,1,0,1,2,Installed,Fuel oil,700000,€700000,1
30,house,house,10666368,brasschaat,2930,Antwerpen,Flanders,875000,Kempischveldweg 34,5,B,187.0,0,1,0,2146,46,4,1972,Good,0,2,0,1,0,USA hyper equipped,Gas,875000,€875000,1
31,house,exceptional-property,10666367,ekeren,2180,Antwerpen,Flanders,1295000,Kempischveldweg 34,5,C,206.0,0,1,0,2710,0,4,1895,As new,0,2,0,1,0,Hyper equipped,0,1295000,€1295000,1
36,house,house,10666355,hoboken,2660,Antwerpen,Flanders,595000,Koninlijkelaan 42,4,C,230.0,0,1,0,333,0,3,0,As new,0,2,0,0,0,0,Gas,595000,€595000,1
37,house,house,10666354,aalst,9300,Oost-Vlaanderen,Flanders,325000,Steenweg 299,4,C,211.0,0,1,0,222,28,3,0,Good,0,1,0,0,0,Installed,Gas,325000,€325000,1
38,house,house,10666352,laeken,1020,Brussels Hoofdstedelijk Gewest,Brussels,469000,"Avenue des Cerisiers, 212",4,F,283.0,0,1,40,343,40,3,1963,As new,0,1,1,1,2,Hyper equipped,0,469000,€469000,1
39,house,house,10666349,vilvoorde%20koningslo,1800,Vlaams-Brabant,Flanders,469000,"Avenue des Cerisiers, 212",4,C,283.0,0,1,40,343,40,3,1963,As new,0,1,1,1,2,Hyper equipped,0,469000,€469000,1
40,apartment,apartment,10666348,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,240000,"Avenue des Cerisiers, 212",2,E,221.0,0,1,17,0,28,0,1964,To renovate,0,1,1,0,1,Semi equipped,Gas,240000,€240000,1
41,apartment,apartment,10666347,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,299000,"Avenue des Cerisiers, 212",3,D,178.0,0,1,9,0,30,2,1964,To renovate,0,1,0,0,1,0,Fuel oil,299000,€299000,1
43,apartment,apartment,10560725,lichtervelde,8810,West-Vlaanderen,Flanders,215000,Den Triangel 2,2,B,109.0,0,1,0,0,0,3,2012,As new,0,1,0,0,1,USA hyper equipped,0,215000,€215000,1
47,apartment,apartment,10666334,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,200000,Avenue Baron Albert d'Huart 130,2,E,274.0,0,1,5,0,30,0,1970,To renovate,0,1,1,0,0,Installed,Gas,200000,€200000,1
48,house,house,10666333,lokeren,9160,Oost-Vlaanderen,Flanders,175000,Kerkstraat 64,2,E,411.0,0,0,0,260,0,2,0,To be done up,0,1,0,0,1,Installed,Gas,175000,€175000,0
49,house,exceptional-property,10666313,floreffe,5150,Namur,Wallonia,950000,Chaussée de Marche 474,5,C,234.0,0,1,120,24347,40,4,1989,As new,0,2,2,0,2,Installed,Fuel oil,950000,€950000,1
50,house,house,10666312,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,840000,Rue Belliard 200,5,F,325.0,0,1,5,0,36,3,1931,As new,0,3,3,1,4,Hyper equipped,Gas,840000,€840000,1
51,house,house,10666309,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,1400000,Rue Belliard 200,8,E,253.0,0,1,0,305,389,2,1912,Good,0,4,116,1,2,Installed,Gas,1400000,€1400000,1
52,apartment,apartment,10666308,etterbeek,1040,Brussels Hoofdstedelijk Gewest,Brussels,570000,Rue Belliard 200,2,G,733.0,0,1,8,0,55,2,1960,Just renovated,0,1,0,0,2,USA hyper equipped,Fuel oil,570000,€570000,1
53,apartment,triplex,10666307,auderghem,1160,Brussels Hoofdstedelijk Gewest,Brussels,840000,Rue Belliard 200,5,F,325.0,0,1,5,0,36,3,1931,As new,0,3,0,1,4,Hyper equipped,Gas,840000,€840000,1
54,apartment,apartment-block,10666301,namur,5100,Namur,Wallonia,525000,Joseph Durieux 151,3,C,173.0,0,1,50,0,20,3,0,0,0,0,2,1,4,Hyper equipped,0,525000,€525000,1
55,house,mixed-use-building,10666300,fosses-la-ville,5070,Namur,Wallonia,189000,Joseph Durieux 151,3,G,557.0,0,1,27,0,0,3,0,Good,0,1,0,0,1,Semi equipped,Fuel oil,189000,€189000,1
56,house,villa,10666299,malonne,5020,Namur,Wallonia,700000,Joseph Durieux 151,3,C,223.0,0,1,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,700000,€700000,1
57,house,exceptional-property,10666298,malonne,5020,Namur,Wallonia,700000,Joseph Durieux 151,3,C,223.0,0,1,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,700000,€700000,1
58,house,house,10666296,mettet,5640,Namur,Wallonia,250000,Joseph Durieux 151,4,G,590.0,0,1,30,1651,50,4,1980,To be done up,0,1,0,1,2,Semi equipped,Fuel oil,250000,€250000,1
59,house,house,10666292,fraire,5650,Namur,Wallonia,250000,Joseph Durieux 151,4,G,590.0,0,1,30,1651,50,4,1980,To be done up,0,1,0,1,2,Semi equipped,Fuel oil,250000,€250000,1
61,house,house,10666290,loyers,5101,Namur,Wallonia,425000,Joseph Durieux 151,3,E,400.0,0,1,40,5135,50,4,0,0,0,2,0,1,3,USA installed,Fuel oil,425000,€425000,1
62,house,house,10666289,jemeppe-sur-sambre,5190,Namur,Wallonia,399000,Joseph Durieux 151,4,D,302.0,0,1,60,5000,56,4,0,To be done up,0,2,0,1,2,0,0,399000,€399000,1
63,house,house,10666284,fosses-la-ville,5070,Namur,Wallonia,189000,Joseph Durieux 151,3,G,557.0,0,1,27,0,0,3,0,Good,0,1,0,0,1,Semi equipped,Fuel oil,189000,€189000,1
64,house,house,10666283,malonne,5020,Namur,Wallonia,700000,Joseph Durieux 151,3,C,223.0,0,1,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,700000,€700000,1
66,apartment,duplex,10666278,watermael-boitsfort,1170,Brussels Hoofdstedelijk Gewest,Brussels,620000,Avenue Louise 589,2,B,82.0,0,1,40,0,50,2,2005,As new,0,1,0,1,2,USA hyper equipped,Gas,620000,€620000,1
67,apartment,apartment,10666277,jette,1090,Brussels Hoofdstedelijk Gewest,Brussels,245000,Avenue François Sebrechts 26,2,E,250.0,0,1,8,0,30,0,1969,As new,0,1,0,0,1,Hyper equipped,0,245000,€245000,1
68,house,other-property,10666272,flobecq,7880,Hainaut,Wallonia,585000,Porte d'Ogy 78,5,G,848.0,0,1,0,3500,0,4,0,0,0,1,0,0,2,Installed,Fuel oil,585000,€585.000.,1
69,house,country-cottage,10666271,flobecq,7880,Hainaut,Wallonia,585000,Porte d'Ogy 78,5,G,848.0,0,1,0,3500,0,4,0,0,0,1,0,0,2,Installed,Fuel oil,585000,€585.000.,1
70,apartment,apartment,10666267,wondelgem,9032,Oost-Vlaanderen,Flanders,20000,Alphonse Claeys-Bouüaertlaan 57/001,2,D,312.0,0,0,0,0,0,0,1968,To be done up,0,1,0,0,0,0,Gas,20000,€20.000.,0
71,apartment,apartment,10666266,gent,9000,Oost-Vlaanderen,Flanders,20000,Alphonse Claeys-Bouüaertlaan 57/001,2,D,312.0,0,0,0,0,0,0,1968,To be done up,0,1,0,0,0,0,Gas,20000,€20.000.,0
72,house,house,10666265,ledeberg,9050,Oost-Vlaanderen,Flanders,339000,Alphonse Claeys-Bouüaertlaan 57/001,5,C,295.0,0,0,0,70,0,0,1899,To be done up,0,1,0,0,0,Semi equipped,Gas,339000,€339000,0
73,house,house,10666264,ledeberg,9050,Oost-Vlaanderen,Flanders,339000,Alphonse Claeys-Bouüaertlaan 57/001,5,C,295.0,0,0,0,70,0,0,1899,To be done up,0,1,0,0,0,Semi equipped,Gas,339000,€339000,0
74,house,house,10666262,aarschot,3200,Vlaams-Brabant,Flanders,235000,Betekomsesteenweg 69F,2,D,398.0,0,0,0,174,0,0,1951,To renovate,0,1,0,1,1,0,Gas,235000,€235000,0
75,house,house,10666261,beringen,3580,Limburg,Flanders,269950,Koeltorenlaan 11/3,3,E,496.0,0,1,21,0,28,0,1963,0,0,1,0,0,0,Installed,Gas,269950,€269950,1
76,house,villa,10666257,rumbeke,8800,West-Vlaanderen,Flanders,845000,Jan Palfijnstraat 1A,4,D,396.0,0,0,0,6720,56,0,1966,0,0,1,0,1,0,Hyper equipped,Electric,845000,€845000,0
77,house,villa,10666255,zele,9240,Oost-Vlaanderen,Flanders,419000,Vrijheidsplein 19,3,F,872.0,0,1,0,1425,0,0,1965,To renovate,0,1,0,1,1,Installed,Electric,419000,€419000,1
78,house,house,10666254,merksem,2170,Antwerpen,Flanders,397000,"Uitbreidingstraat 84,",5,D,318.0,0,0,0,273,36,0,1938,0,0,1,0,1,0,Installed,Gas,397000,€397000,0
79,apartment,apartment,10666253,hoboken,2660,Antwerpen,Flanders,155000,"Uitbreidingstraat 84,",2,B,192.0,0,0,0,0,25,0,0,0,0,0,0,0,0,Installed,Gas,155000,€155000,0
84,apartment,apartment,10666243,assebroek,8310,West-Vlaanderen,Flanders,180000,Katelijnestraat 137,3,B,155.0,0,1,0,0,0,0,1974,As new,0,1,0,0,1,0,0,180000,€180000,1
85,apartment,loft,10545687,veltem-beisem,3020,Vlaams-Brabant,Flanders,750000,Jan Stasstraat 3,3,C,213.0,0,1,96,0,0,0,0,As new,0,3,0,1,0,Hyper equipped,Gas,750000,€750000,1
86,apartment,apartment,10666242,leuven,3000,Vlaams-Brabant,Flanders,298000,Jan Stasstraat 3,1,B,166.0,0,1,5,0,0,0,2012,0,0,1,0,0,0,0,Gas,298000,€298000,1
87,apartment,apartment,10666241,heverlee,3001,Vlaams-Brabant,Flanders,280000,Jan Stasstraat 3,2,C,228.0,0,0,0,0,0,0,1967,Good,0,1,0,0,1,0,Gas,280000,€280000,0
88,apartment,apartment,10666239,lier,2500,Antwerpen,Flanders,265000,Pastoor Mellaertstraat 60,2,B,125.0,0,1,0,0,0,0,2003,As new,0,1,0,0,2,0,Gas,265000,€265000,1
89,apartment,apartment,10563903,oostende,8400,West-Vlaanderen,Flanders,349000,Artanlaan 2,2,A,100.0,0,1,0,0,0,0,2003,As new,0,1,0,0,2,0,0,349000,€349000,1
91,house,villa,10666231,sint-idesbald,8670,West-Vlaanderen,Flanders,615000,Artanlaan 2,6,C,218.0,0,1,0,727,0,0,1968,To renovate,0,1,0,0,0,0,0,615000,€615000,1
92,apartment,apartment,10666229,oostduinkerke,8670,West-Vlaanderen,Flanders,825000,Artanlaan 2,2,B,108.0,0,1,0,0,0,0,2003,0,0,2,0,0,1,0,Gas,825000,€825000,1
93,house,mansion,10666228,oostende,8400,West-Vlaanderen,Flanders,439000,Artanlaan 2,5,B,175.0,0,1,0,237,0,0,0,0,0,4,0,0,4,0,0,439000,€439000,1
94,house,house,10666227,nieuwpoort,8620,West-Vlaanderen,Flanders,225000,Artanlaan 2,3,F,631.0,0,0,0,0,0,0,1953,To be done up,0,1,0,0,1,0,0,225000,€225000,0
95,apartment,apartment,10666226,oostduinkerke,8670,West-Vlaanderen,Flanders,3095000,Artanlaan 2,3,C,220.0,0,1,0,0,0,0,1994,As new,0,2,0,0,3,Hyper equipped,Electric,3095000,€3095000,1
122,house,house,10666198,aalst,9300,Oost-Vlaanderen,Flanders,435000,Vrijheidstraat 41,4,D,354.0,0,1,0,314,48,0,1960,0,0,1,0,1,2,0,0,435000,€435000,1
123,house,house,10608330,borsbeek,2150,Antwerpen,Flanders,399000,Blancefloerlaan 50,2,C,236.0,0,1,0,195,0,0,0,As new,0,1,0,0,1,0,0,399000,€399000,1
124,house,house,10666195,lummen,3560,Limburg,Flanders,239000,Dorpsstraat 9,3,E,497.0,0,0,0,913,38,0,1959,To renovate,0,1,0,0,1,0,0,239000,€239000,0
125,house,house,10666194,kuurne,8520,West-Vlaanderen,Flanders,249000,Marktplein 14,3,D,360.0,0,1,0,285,0,0,0,To be done up,0,2,0,0,2,0,0,249000,€249000,1
126,house,house,10666193,gits,8830,West-Vlaanderen,Flanders,470000,Marktplein 14,2,F,550.0,0,0,0,4044,0,0,1973,0,0,1,0,0,1,0,0,470000,€470000,0
127,apartment,apartment,10666192,lichtervelde,8810,West-Vlaanderen,Flanders,235000,Marktplein 14,2,A,79.0,1,1,0,0,0,0,2016,0,0,1,0,0,1,0,0,235000,€235000,1
128,house,house,10666191,appels,9200,Oost-Vlaanderen,Flanders,249000,Oude Vest 90/1,3,F,667.0,0,0,0,148,28,0,0,As new,0,1,0,0,1,Installed,Gas,249000,€249000,0
130,house,house,10666187,scherpenheuvel-zichem,3270,Vlaams-Brabant,Flanders,149000,"Het Dorlik, 16",3,F,604.0,0,0,0,450,0,0,0,To renovate,0,1,0,0,0,0,0,149000,€149000,0
131,house,town-house,10666186,sint-truiden,3800,Limburg,Flanders,239000,"Het Dorlik, 16",2,D,333.0,0,1,0,85,0,0,0,To renovate,0,1,0,0,1,Not installed,Gas,239000,€239000,1
132,house,exceptional-property,10666184,hasselt,3500,Limburg,Flanders,524900,"Het Dorlik, 16",3,C,240.0,0,1,0,220,0,0,0,0,0,1,0,0,0,Installed,Gas,524900,€524900,1
133,house,exceptional-property,10666183,hasselt,3500,Limburg,Flanders,699000,"Het Dorlik, 16",2,B,121.0,0,1,0,215,0,0,1920,0,0,1,0,1,2,Installed,Gas,699000,€699000,1
134,house,house,10666182,genk,3600,Limburg,Flanders,285000,"Het Dorlik, 16",3,B,154.0,0,1,0,20060,0,0,2016,0,0,1,0,0,0,Installed,Gas,285000,€285000,1
135,house,house,10666180,putte,2580,Antwerpen,Flanders,365000,Mechelbaan 445,3,F,533.0,0,1,0,935,0,0,1962,To renovate,0,1,0,0,1,Installed,Gas,365000,€365000,1
136,house,house,10666179,putte,2580,Antwerpen,Flanders,625000,Mechelbaan 445,3,A,100.0,0,0,0,496,0,0,2018,0,0,1,0,0,2,Hyper equipped,Gas,625000,€625000,0
137,apartment,apartment,10666178,heist-op-den-berg,2220,Antwerpen,Flanders,348000,Mechelbaan 445,3,B,145.0,0,1,0,0,0,0,2008,0,0,1,0,0,2,Installed,Gas,348000,€348000,1
138,house,house,10666177,vurste,9890,Oost-Vlaanderen,Flanders,445000,Dorp 32 A,5,A,40.0,0,0,0,235,0,0,0,0,0,2,0,1,2,0,0,445000,€445000,0
139,house,house,10666176,vurste,9890,Oost-Vlaanderen,Flanders,375000,Dorp 32 A,5,A,40.0,0,1,0,235,0,0,0,0,0,2,0,0,0,0,0,375000,€375000,1
141,apartment,ground-floor,10667177,molenbeek-saint-jean,1080,Brussels Hoofdstedelijk Gewest,Brussels,199000,Avenue Louise 120 (4e étage),2,E,216.0,0,1,0,0,32,2,1975,Good,0,1,1,0,1,Not installed,Fuel oil,199000,€199000,1
142,house,town-house,10631705,bois-d%27haine,7170,Hainaut,Wallonia,186500,Rue Sylvain Guyaux 85,2,D,289.0,0,0,0,0,0,0,0,Good,0,0,1,0,1,Semi equipped,Gas,186500,€186500,0
145,house,house,10667169,etterbeek,1040,Brussels Hoofdstedelijk Gewest,Brussels,780000,Place Communale 8,5,F,339.0,0,1,3,100,15,2,1930,To be done up,0,1,2,0,3,Hyper equipped,Gas,780000,€780000,1
146,house,house,10667167,olloy-sur-viroin,5670,Namur,Wallonia,88000,Avenue Paul pastur 380,3,F,486.0,0,0,0,139,23,2,0,0,0,1,1,0,2,Installed,Fuel oil,88000,€88000,0
147,house,house,10667166,frasnes-lez-gosselies,6210,Hainaut,Wallonia,238000,Avenue Paul pastur 380,3,C,184.0,0,1,40,200,38,2,0,0,0,1,0,0,1,Installed,Gas,238000,€238000,1
148,house,villa,10667165,gozee,6534,Hainaut,Wallonia,395000,Avenue Paul pastur 380,2,C,228.0,0,1,20,1085,48,4,0,0,0,1,0,0,1,Installed,Fuel oil,395000,€395000,1
149,house,house,10667164,deerlijk,8540,West-Vlaanderen,Flanders,229000,Hulstedorp 18,3,E,460.0,0,0,0,313,0,3,0,To be done up,0,0,0,0,1,Semi equipped,Fuel oil,229000,€229000,0
150,apartment,apartment,10667161,molenbeek-st-jean,1080,Brussels Hoofdstedelijk Gewest,Brussels,295000,Rue Haute 2,2,E,252.0,0,1,9,0,13,2,2007,Good,0,1,1,0,1,Installed,Electric,295000,€295000,1
151,house,house,10667156,keerbergen,3140,Vlaams-Brabant,Flanders,850000,Korenmarkt 55,3,B,194.0,0,1,0,1366,20,4,1994,0,0,1,2,1,2,0,0,850000,€850000,1
153,house,house,10667154,laeken,1020,Brussels Hoofdstedelijk Gewest,Brussels,539000,Rue de Wand 25,4,F,301.0,0,1,11,0,32,2,1956,0,0,2,0,0,3,Installed,Fuel oil,539000,€539000,1
156,apartment,apartment,10667148,beveren,9120,Oost-Vlaanderen,Flanders,349000,Kasteeldreef 15,2,D,385.0,0,1,12,0,43,2,1979,To renovate,0,1,0,0,0,0,Gas,349000,€349000,1
159,house,house,10667127,berlare,9290,Oost-Vlaanderen,Flanders,575000,Dorp 41,2,E,438.0,0,0,0,808,36,4,1989,Good,0,1,0,0,0,0,Electric,575000,€575000,0
161,apartment,apartment,10667113,li%C3%A8ge,4000,Liï¿½ge,Wallonia,145000,Rue de Plainevaux 102,2,D,300.0,0,0,0,0,28,3,0,To be done up,0,1,0,0,0,0,Gas,145000,€145000,0
164,apartment,new-real-estate-project-apartments,10667068,liege,4031,Liï¿½ge,Wallonia,335000,Boulevard d'Avroy 19,0,A,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335000,€335000,0
166,apartment,new-real-estate-project-apartments,10667039,liege,4000,Liï¿½ge,Wallonia,620000,Boulevard d'Avroy 19,0,A,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620000,€620000,0
168,apartment,apartment,10667024,li%C3%A8ge,4020,Liï¿½ge,Wallonia,169000,Rue Simon 46/2,1,C,202.0,0,0,0,0,20,2,0,Good,0,1,0,0,1,0,Gas,169000,€169000,0
169,house,house,10667023,mol,2400,Antwerpen,Flanders,325000,Statiestraat 47,4,D,376.0,0,1,0,572,0,0,0,Good,0,0,0,0,2,Installed,Fuel oil,325000,€325000,1
172,house,house,10667019,aalst,9300,Oost-Vlaanderen,Flanders,149000,Graanmarkt 10,2,D,322.0,0,0,0,48,27,2,1935,To be done up,0,1,0,0,1,0,Gas,149000,€149000,0
173,apartment,apartment,10667013,eeklo,9900,Oost-Vlaanderen,Flanders,185000,Boelare 67,3,C,282.0,0,1,0,0,0,2,1983,Good,0,1,0,0,0,0,Gas,185000,€185000,1
174,apartment,apartment,10667011,theux,4910,Liï¿½ge,Wallonia,185000,"Avenue du Chêne, 101",2,B,140.0,0,0,0,0,0,3,0,0,0,1,1,0,2,Installed,Gas,185000,€185000,0
175,house,house,10667005,mouscron,7700,Hainaut,Wallonia,165000,Boulevard des Déportés 32,3,C,234.0,0,1,0,190,0,2,0,Good,0,1,0,0,1,Installed,Gas,165000,€165000,1
176,house,house,10643228,herseaux,7712,Hainaut,Wallonia,329000,"Avenue du Château, 200",3,B,137.0,0,1,0,308,0,3,2008,Good,0,1,0,0,2,Installed,Gas,329000,€329000,1
177,apartment,apartment,10666999,sint-eloois-vijve%20%28waregem%29,8793,West-Vlaanderen,Flanders,300000,Holstraat 86,2,B,150.0,0,1,0,0,0,4,0,Good,0,1,0,0,0,0,Gas,300000,€300000,1
178,apartment,apartment,10666998,noorderwijk,2200,Antwerpen,Flanders,249000,Fraikinstraat 7,2,B,165.0,0,1,14,0,24,3,2004,Good,0,1,0,0,0,0,Gas,249000,€249000,1
179,house,house,10478162,bouffioulx,6200,Hainaut,Wallonia,79000,Rue du Parc 5 bt3,2,D,283.0,0,0,0,43,20,2,0,0,0,1,0,0,1,0,0,79000,€79000,0
180,apartment,apartment-block,10666992,monceau-sur-sambre,6031,Hainaut,Wallonia,220000,Rue du Parc 5 bt3,4,G,748.0,0,0,0,340,40,2,0,0,0,2,0,0,2,0,Gas,220000,€220000,0
181,house,house,10666990,blaasveld,2830,Antwerpen,Flanders,409000,Dorpshart 10,3,B,190.0,0,1,15,310,0,3,1986,Good,0,1,0,0,2,Installed,Gas,409000,€409000,1
182,house,villa,10666986,gistel,8470,West-Vlaanderen,Flanders,1245000,Vlamingstraat 26,3,F,818.0,0,1,0,5924,139,0,0,Good,0,0,0,0,1,Installed,Fuel oil,1245000,€1245000,1
183,house,villa,10666985,kapellen,2950,Antwerpen,Flanders,649000,Kapelsesteenweg 348,4,C,211.0,0,1,20,2505,52,0,0,As new,0,0,0,0,2,Hyper equipped,Gas,649000,€649000,1
184,house,house,10666984,ciney,5590,Namur,Wallonia,599000,Chaussée de Louvain 258,6,D,280.0,0,0,0,3300,62,4,0,As new,0,2,0,1,3,Installed,Fuel oil,599000,€599000,0
185,apartment,apartment,10666982,eupen,4700,Liï¿½ge,Wallonia,135000,Poteauerstrasse 90,1,A,56.0,0,0,0,0,21,0,0,0,0,1,0,0,0,Installed,0,135000,€135000,0
186,house,house,10666978,izegem,8870,West-Vlaanderen,Flanders,349000,Posterijstraat 61,3,C,285.0,0,0,0,374,0,3,1965,To be done up,0,0,0,0,2,0,Gas,349000,€349000,0
187,apartment,apartment,10666977,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,299000,Rue Archimède 17,2,E,268.0,0,1,0,0,20,2,1934,Good,0,1,0,0,0,0,Gas,299000,€299000,1
189,house,house,10666972,olen,2250,Antwerpen,Flanders,415000,Graaf De Broquevillestraat 35,3,B,172.0,0,0,0,1233,0,3,1994,Good,0,1,0,0,4,0,Gas,415000,€415000,0
190,house,house,10666970,bornem,2880,Antwerpen,Flanders,419000,Mercatorstraat 64,3,E,409.0,0,0,0,170,0,3,1900,Good,0,1,0,0,0,0,Gas,419000,€419000,0
191,house,house,10666970,bornem,2880,Antwerpen,Flanders,419000,Mercatorstraat 64,3,E,409.0,0,0,0,170,0,3,1900,Good,0,1,0,0,0,0,Gas,419000,€419000,0
