,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Terrace2,Provincie,Gemeenschap
4510,€545000,Rue Charles Magnette 24/40,7,E,389,0,0,0,0,0,3,0,0,0,0,4,0,6,Not installed,0,8,3,545000,0,,
4511,€119000,"Place Hubert Delrez, 8/6",5,D,272,0,1,6,65,21,2,0,To renovate,0,1,1,1,2,Not installed,Gas,10334315,4800,119000,1,Liï¿½ge,Wallonia
4512,€180550,Kasteelstraat 177,2,F,728,0,0,0,0,0,3,0,To renovate,0,1,0,0,1,0,Gas,10655122,9200,180550,0,Oost-Vlaanderen,Flanders
4513,€229000,Begijnhofdries 31,1,B,175,0,0,0,0,0,2,1992,0,0,1,0,0,1,0,0,10655120,9000,229000,0,Oost-Vlaanderen,Flanders
4514,€339000,Begijnhofdries 31,3,D,353,0,0,0,200,0,2,0,0,0,1,0,0,1,0,0,10655119,9050,339000,0,Oost-Vlaanderen,Flanders
4515,€163000,Persilstraat 51D,0,Not specified,Not specified,1,0,0,0,0,0,2023,Good,0,0,0,0,0,0,0,10655117,2060,163000,0,Antwerpen,Flanders
4516,€479000,Onze-Lieve-Vrouwstraat 129B,4,E,483,0,0,0,1828,55,3,0,Good,0,1,0,0,2,0,0,10655114,3150,479000,0,Vlaams-Brabant,Flanders
4517,€279000,Place Dr. Schweitzer 18,2,E,275,0,1,10,0,35,0,1985,As new,0,1,0,0,1,0,Electric,10655103,1082,279000,1,Brussels Hoofdstedelijk Gewest,Brussels
4518,€499000,Bredabaan 661,4,B,110.65,0,1,20,385,32,3,2016,Good,0,1,0,0,2,0,0,10655102,2990,499000,1,Antwerpen,Flanders
4519,€640000,Noordlaan 51,8,C,240,0,0,0,201,0,0,0,As new,0,7,0,0,7,0,0,10655100,8870,640000,0,West-Vlaanderen,Flanders
4520,€175000,Noordlaan 51,2,F,569,0,0,0,131,0,0,0,0,0,1,0,0,2,0,0,10655098,8800,175000,0,West-Vlaanderen,Flanders
4521,€399000,Route du Condroz 151,3,D,332,0,1,75,1823,35,4,1990,Good,0,1,0,0,0,Installed,0,10655097,4550,399000,1,Liï¿½ge,Wallonia
4522,€199000,Route du Condroz 151,4,G,529,0,1,15,155,56,0,1915,To renovate,0,0,4,0,3,Semi equipped,Fuel oil,10655095,4101,199000,1,Liï¿½ge,Wallonia
4523,€199000,Route du Condroz 151,4,G,529,0,1,15,155,56,0,1915,To renovate,0,0,4,0,3,Semi equipped,Fuel oil,10655094,4101,199000,1,Liï¿½ge,Wallonia
4524,€269000,Route du Condroz 151,3,E,365,0,1,20,335,39,3,1959,Good,0,1,0,0,1,Semi equipped,Gas,89,3,269000,1,,
4525,€598000,"Culostraat, 44",4,Not specified,Not specified,0,0,0,522,49,3,2023,As new,0,2,0,0,0,Hyper equipped,0,10655092,3370,598000,0,Vlaams-Brabant,Flanders
4526,€210000,Plezantstraat 71,3,F,646,0,1,16,415,0,3,1965,To renovate,0,1,0,0,1,0,Gas,10655091,9160,210000,1,Oost-Vlaanderen,Flanders
